tf,date,open,high,low,close,volume
5m,2026-05-04 09:15:00+05:30,253.15,253.15,176.6,195.4,208000
5m,2026-05-04 09:20:00+05:30,195.4,204.0,183.6,200.4,105235
5m,2026-05-04 09:25:00+05:30,200.4,200.4,179.9,181.7,70785
5m,2026-05-04 09:30:00+05:30,181.7,201.0,176.0,178.35,74620
5m,2026-05-04 09:35:00+05:30,178.35,178.7,164.05,166.1,80665
5m,2026-05-04 09:40:00+05:30,166.1,166.1,157.7,160.4,74945
5m,2026-05-04 09:45:00+05:30,160.4,162.3,156.9,160.5,57395
5m,2026-05-04 09:50:00+05:30,160.5,179.45,160.25,174.45,89765
5m,2026-05-04 09:55:00+05:30,174.45,178.3,168.85,170.5,28795
5m,2026-05-04 10:00:00+05:30,170.5,185.6,164.0,180.15,41210
5m,2026-05-04 10:05:00+05:30,180.15,182.1,168.45,180.7,24700
5m,2026-05-04 10:10:00+05:30,180.7,206.65,177.2,206.55,89180
5m,2026-05-04 10:15:00+05:30,206.55,208.0,195.4,203.25,96395
5m,2026-05-04 10:20:00+05:30,203.25,223.0,200.75,217.7,84695
5m,2026-05-04 10:25:00+05:30,217.7,219.0,190.35,192.85,65520
5m,2026-05-04 10:30:00+05:30,192.85,206.35,176.5,192.25,73645
5m,2026-05-04 10:35:00+05:30,192.25,196.4,179.3,181.55,32890
5m,2026-05-04 10:40:00+05:30,181.55,185.9,178.5,179.35,21255
5m,2026-05-04 10:45:00+05:30,179.35,186.6,171.0,175.7,36530
5m,2026-05-04 10:50:00+05:30,175.7,184.0,172.5,181.0,24960
5m,2026-05-04 10:55:00+05:30,181.0,201.0,181.0,200.0,27690
5m,2026-05-04 11:00:00+05:30,200.0,203.9,187.65,188.5,33150
5m,2026-05-04 11:05:00+05:30,188.5,194.7,182.85,188.15,16250
5m,2026-05-04 11:10:00+05:30,188.15,189.2,176.05,176.5,11765
5m,2026-05-04 11:15:00+05:30,176.5,177.05,171.45,177.05,19955
5m,2026-05-04 11:20:00+05:30,177.05,178.2,172.85,173.0,8710
5m,2026-05-04 11:25:00+05:30,173.0,177.4,171.0,172.8,10660
5m,2026-05-04 11:30:00+05:30,172.8,176.2,169.7,176.2,14950
5m,2026-05-04 11:35:00+05:30,176.2,180.1,169.5,172.35,15405
5m,2026-05-04 11:40:00+05:30,172.35,178.6,168.6,175.0,19565
5m,2026-05-04 11:45:00+05:30,175.0,176.65,165.9,172.3,51285
5m,2026-05-04 11:50:00+05:30,172.3,178.0,168.1,176.35,13520
5m,2026-05-04 11:55:00+05:30,176.35,181.4,174.65,174.65,16510
5m,2026-05-04 12:00:00+05:30,174.65,182.4,172.6,180.0,9490
5m,2026-05-04 12:05:00+05:30,180.0,193.0,177.05,189.4,33085
5m,2026-05-04 12:10:00+05:30,190.0,235.65,189.85,233.4,165165
5m,2026-05-04 12:15:00+05:30,234.45,238.45,214.6,215.7,172055
5m,2026-05-04 12:20:00+05:30,215.7,232.6,208.4,221.85,64740
5m,2026-05-04 12:25:00+05:30,221.85,225.9,214.05,225.3,245505
5m,2026-05-04 12:30:00+05:30,225.3,239.1,223.95,238.6,61555
5m,2026-05-04 12:35:00+05:30,238.6,239.6,225.45,226.45,88920
5m,2026-05-04 12:40:00+05:30,226.45,242.4,218.7,240.8,97435
5m,2026-05-04 12:45:00+05:30,241.6,250.5,231.35,241.4,137215
5m,2026-05-04 12:50:00+05:30,241.4,244.3,229.45,235.75,71240
5m,2026-05-04 12:55:00+05:30,235.75,243.65,230.2,241.7,27950
5m,2026-05-04 13:00:00+05:30,241.7,250.85,238.95,243.5,65390
5m,2026-05-04 13:05:00+05:30,243.5,247.8,233.9,235.05,33930
5m,2026-05-04 13:10:00+05:30,234.2,239.55,227.65,235.5,61880
5m,2026-05-04 13:15:00+05:30,235.5,258.0,234.2,241.35,102635
5m,2026-05-04 13:20:00+05:30,241.35,268.0,241.35,258.25,154375
5m,2026-05-04 13:25:00+05:30,258.25,287.55,248.25,287.55,190515
5m,2026-05-04 13:30:00+05:30,287.55,299.1,275.55,292.4,138580
5m,2026-05-04 13:35:00+05:30,292.4,300.0,276.95,277.2,96785
5m,2026-05-04 13:40:00+05:30,277.2,279.0,243.55,246.9,134615
5m,2026-05-04 13:45:00+05:30,246.1,253.4,242.7,245.5,73970
5m,2026-05-04 13:50:00+05:30,245.5,253.55,233.95,249.3,71890
5m,2026-05-04 13:55:00+05:30,249.3,270.6,248.55,255.9,99515
5m,2026-05-04 14:00:00+05:30,255.9,270.35,250.55,260.6,58695
5m,2026-05-04 14:05:00+05:30,260.6,268.2,254.9,258.35,42965
5m,2026-05-04 14:10:00+05:30,258.35,258.35,233.7,237.0,119795
5m,2026-05-04 14:15:00+05:30,237.0,238.9,211.2,217.5,105495
5m,2026-05-04 14:20:00+05:30,217.5,227.8,212.1,223.4,88335
5m,2026-05-04 14:25:00+05:30,224.35,232.0,218.0,223.3,71240
5m,2026-05-04 14:30:00+05:30,223.3,233.9,218.75,224.05,79755
5m,2026-05-04 14:35:00+05:30,224.05,236.6,222.05,231.65,38480
5m,2026-05-04 14:40:00+05:30,231.65,250.0,228.4,240.8,101725
5m,2026-05-04 14:45:00+05:30,240.8,254.15,240.8,250.15,77220
5m,2026-05-04 14:50:00+05:30,250.15,254.4,230.7,233.2,86515
5m,2026-05-04 14:55:00+05:30,233.2,249.05,222.25,240.05,77025
5m,2026-05-04 15:00:00+05:30,239.5,249.6,228.2,234.85,90155
5m,2026-05-04 15:05:00+05:30,235.15,235.15,218.9,221.95,63440
5m,2026-05-04 15:10:00+05:30,221.95,225.7,209.4,218.8,98150
5m,2026-05-04 15:15:00+05:30,218.8,227.0,210.0,219.4,137995
5m,2026-05-04 15:20:00+05:30,219.4,223.45,216.4,220.25,127075
5m,2026-05-04 15:25:00+05:30,220.25,229.9,217.05,229.75,227305
5m,2026-05-05 09:15:00+05:30,265.0,324.75,252.55,259.9,516490
5m,2026-05-05 09:20:00+05:30,259.9,278.1,258.7,274.5,455260
5m,2026-05-05 09:25:00+05:30,274.5,300.9,272.35,294.0,429390
5m,2026-05-05 09:30:00+05:30,294.0,297.05,259.65,259.65,350025
5m,2026-05-05 09:35:00+05:30,259.65,268.9,247.3,266.2,317590
5m,2026-05-05 09:40:00+05:30,266.2,279.7,262.8,271.1,209560
5m,2026-05-05 09:45:00+05:30,271.1,276.85,254.1,257.65,154895
5m,2026-05-05 09:50:00+05:30,257.65,263.95,245.0,249.8,194805
5m,2026-05-05 09:55:00+05:30,249.8,259.95,247.0,250.8,121485
5m,2026-05-05 10:00:00+05:30,250.8,275.75,245.9,271.0,228540
5m,2026-05-05 10:05:00+05:30,271.0,284.8,268.2,277.2,238745
5m,2026-05-05 10:10:00+05:30,277.2,290.0,273.7,287.1,139620
5m,2026-05-05 10:15:00+05:30,287.1,294.95,280.8,280.8,132535
5m,2026-05-05 10:20:00+05:30,280.8,292.8,274.7,284.85,96460
5m,2026-05-05 10:25:00+05:30,284.85,306.75,284.85,303.45,180700
5m,2026-05-05 10:30:00+05:30,303.45,312.9,294.0,311.65,105755
5m,2026-05-05 10:35:00+05:30,311.65,320.0,303.2,310.25,160745
5m,2026-05-05 10:40:00+05:30,310.25,317.5,304.1,310.3,77480
5m,2026-05-05 10:45:00+05:30,310.3,312.0,303.65,307.05,79625
5m,2026-05-05 10:50:00+05:30,307.05,320.0,301.0,314.0,68705
5m,2026-05-05 10:55:00+05:30,315.8,323.0,314.0,317.3,77350
5m,2026-05-05 11:00:00+05:30,317.3,323.05,298.25,299.25,125255
5m,2026-05-05 11:05:00+05:30,299.25,317.7,299.25,313.9,70655
5m,2026-05-05 11:10:00+05:30,313.9,315.0,305.05,308.35,57525
5m,2026-05-05 11:15:00+05:30,308.35,311.5,292.9,311.25,56875
5m,2026-05-05 11:20:00+05:30,311.25,318.35,306.55,312.9,78715
5m,2026-05-05 11:25:00+05:30,312.9,315.0,308.8,310.6,18395
5m,2026-05-05 11:30:00+05:30,310.6,311.1,292.65,296.6,37440
5m,2026-05-05 11:35:00+05:30,296.6,307.2,290.2,306.25,45955
5m,2026-05-05 11:40:00+05:30,306.25,323.0,306.25,322.9,64415
5m,2026-05-05 11:45:00+05:30,321.65,337.75,320.0,328.2,139230
5m,2026-05-05 11:50:00+05:30,328.2,337.9,320.8,337.15,98150
5m,2026-05-05 11:55:00+05:30,337.15,346.3,331.5,341.65,84435
5m,2026-05-05 12:00:00+05:30,341.65,341.95,326.55,327.25,28600
5m,2026-05-05 12:05:00+05:30,327.25,328.0,312.5,317.5,36855
5m,2026-05-05 12:10:00+05:30,317.5,318.0,294.75,299.65,47905
5m,2026-05-05 12:15:00+05:30,299.65,303.7,295.35,297.6,46215
5m,2026-05-05 12:20:00+05:30,297.6,297.6,273.9,281.0,97110
5m,2026-05-05 12:25:00+05:30,281.0,301.4,279.4,298.8,99645
5m,2026-05-05 12:30:00+05:30,297.95,304.8,287.25,290.35,60450
5m,2026-05-05 12:35:00+05:30,290.35,293.5,277.85,284.05,64220
5m,2026-05-05 12:40:00+05:30,284.05,290.0,278.9,287.1,28470
