tf,date,open,high,low,close,volume,vwap
5m,2026-06-05 09:15:00+05:30,105.55,117.8,105.45,114.8,28600,112.68333333333334
5m,2026-06-05 09:20:00+05:30,114.8,118.6,111.45,116.6,6110,113.18795255930088
5m,2026-06-05 09:25:00+05:30,116.6,120.1,114.0,114.8,5135,113.58901576943992
5m,2026-06-05 09:30:00+05:30,114.8,115.2,107.45,113.2,6175,113.36909133709983
5m,2026-06-05 09:35:00+05:30,113.2,114.65,105.65,109.35,14885,112.51718249733192
5m,2026-06-05 09:40:00+05:30,109.35,113.25,104.0,104.0,3835,112.19529785809905
5m,2026-06-05 09:45:00+05:30,104.0,111.25,104.0,109.5,5655,111.87836257309941
5m,2026-06-05 09:50:00+05:30,109.5,114.15,107.5,109.2,5200,111.76864431069073
5m,2026-06-05 09:55:00+05:30,109.2,113.85,108.25,113.85,1950,111.77404302877898
5m,2026-06-05 10:00:00+05:30,113.85,117.1,97.35,105.7,30615,110.34253806089743
5m,2026-06-05 10:05:00+05:30,105.7,113.15,96.25,98.75,20930,109.10611782477342
5m,2026-06-05 10:10:00+05:30,98.75,103.2,93.3,103.2,12480,108.29455922865014
5m,2026-06-05 10:15:00+05:30,103.2,108.2,100.85,102.95,4810,108.15344138543517
5m,2026-06-05 10:20:00+05:30,102.95,107.3,98.25,99.1,10270,107.72051867219918
5m,2026-06-05 10:25:00+05:30,99.1,105.5,98.05,103.4,8450,107.4439435695538
5m,2026-06-05 10:30:00+05:30,103.4,113.9,102.9,113.9,5655,107.5363215328004
5m,2026-06-05 10:35:00+05:30,113.9,136.9,112.25,133.5,29120,110.452135501355
5m,2026-06-05 10:40:00+05:30,133.5,147.0,133.2,138.7,21905,113.3343347010551
5m,2026-06-05 10:45:00+05:30,138.7,152.65,134.7,137.1,20800,115.74796802429438
5m,2026-06-05 10:50:00+05:30,137.1,137.1,128.0,130.7,8515,116.29683751833635
5m,2026-06-05 10:55:00+05:30,130.7,132.0,124.3,124.3,17875,116.99927903979378
5m,2026-06-05 11:00:00+05:30,124.3,125.1,105.4,105.45,17355,116.69524782444192
5m,2026-06-05 11:05:00+05:30,105.45,106.9,94.85,100.05,30615,115.14051818430409
5m,2026-06-05 11:10:00+05:30,100.05,106.9,97.6,105.2,4420,114.97674622437974
5m,2026-06-05 11:15:00+05:30,105.2,115.5,104.0,111.35,7540,114.86915019762849
5m,2026-06-05 11:20:00+05:30,111.35,125.5,111.35,117.3,7280,114.93803170920343
5m,2026-06-05 11:25:00+05:30,117.3,121.4,116.4,118.05,8385,115.02755140539523
5m,2026-06-05 11:30:00+05:30,118.05,118.05,109.0,114.75,5785,115.0094836116265
5m,2026-06-05 11:35:00+05:30,114.75,122.4,113.85,115.75,5980,115.04848291377846
5m,2026-06-05 11:40:00+05:30,115.75,118.0,109.9,115.75,5070,115.04148980815351
5m,2026-06-05 11:45:00+05:30,115.75,115.75,109.8,110.9,3835,115.01112890787213
5m,2026-06-05 11:50:00+05:30,110.9,120.75,110.9,120.75,1820,115.02330440942097
5m,2026-06-05 11:55:00+05:30,120.75,125.0,120.25,123.6,3900,115.10664096723326
5m,2026-06-05 12:00:00+05:30,123.6,123.6,113.1,113.1,5525,115.12855662983429
5m,2026-06-05 12:05:00+05:30,113.1,115.1,109.95,113.75,2925,115.11163268802471
5m,2026-06-05 12:10:00+05:30,113.75,117.25,107.7,108.2,3055,115.07918932698848
5m,2026-06-05 12:15:00+05:30,108.2,112.75,106.8,111.6,4355,115.02632050635751
5m,2026-06-05 12:20:00+05:30,111.6,111.8,107.5,107.5,2535,114.98664997217588
5m,2026-06-05 12:25:00+05:30,107.5,110.45,104.1,110.45,4875,114.90437482824954
