tf,date,open,high,low,close,volume,vwap
5m,2026-06-08 09:15:00+05:30,99.0,99.0,75.2,94.75,381420,89.65
5m,2026-06-08 09:20:00+05:30,94.75,96.0,89.6,93.25,226785,90.88049054184033
5m,2026-06-08 09:25:00+05:30,93.25,96.75,91.8,95.4,162630,91.67577789020997
5m,2026-06-08 09:30:00+05:30,95.4,101.6,94.25,100.0,112320,92.55852285272687
5m,2026-06-08 09:35:00+05:30,100.0,100.0,91.35,97.35,102765,92.9415578850211
5m,2026-06-08 09:40:00+05:30,97.35,100.1,94.25,98.55,72150,93.26149096940657
5m,2026-06-08 09:45:00+05:30,98.55,101.25,90.2,90.75,97305,93.32930239099859
5m,2026-06-08 09:50:00+05:30,90.75,98.3,88.9,97.8,65715,93.41921377621634
5m,2026-06-08 09:55:00+05:30,97.8,107.1,97.2,105.9,85930,94.07540033817386
5m,2026-06-08 10:00:00+05:30,105.9,105.9,95.75,95.75,95225,94.41887930901281
5m,2026-06-08 10:05:00+05:30,95.75,102.0,93.75,100.1,59865,94.59075457158947
5m,2026-06-08 10:10:00+05:30,100.1,102.15,96.7,96.8,35555,94.68474820247965
5m,2026-06-08 10:15:00+05:30,96.8,99.85,95.5,99.75,29835,94.7566631205674
5m,2026-06-08 10:20:00+05:30,99.75,100.55,97.25,98.0,40170,94.85514484340881
5m,2026-06-08 10:25:00+05:30,98.0,98.8,94.45,97.9,52130,94.92578183520601
5m,2026-06-08 10:30:00+05:30,97.9,107.3,96.85,106.7,50050,95.18627157129883
5m,2026-06-08 10:35:00+05:30,106.7,106.7,102.5,104.55,36140,95.38534062333308
5m,2026-06-08 10:40:00+05:30,104.55,108.5,98.0,98.05,53040,95.5702183874067
5m,2026-06-08 10:45:00+05:30,98.05,103.05,95.15,101.35,50765,95.69026685342816
5m,2026-06-08 10:50:00+05:30,101.35,103.8,99.4,100.8,35490,95.79879883053296
5m,2026-06-08 10:55:00+05:30,100.8,105.6,98.0,103.85,63180,96.02009127754505
5m,2026-06-08 11:00:00+05:30,103.85,104.8,100.2,101.4,33800,96.12647613310575
5m,2026-06-08 11:05:00+05:30,101.4,102.25,97.0,100.0,31850,96.18493738544444
5m,2026-06-08 11:10:00+05:30,100.0,101.15,97.45,99.0,23530,96.22045141487435
5m,2026-06-08 11:15:00+05:30,99.0,100.25,95.1,96.65,32240,96.23812695464684
5m,2026-06-08 11:20:00+05:30,96.65,98.85,94.5,95.65,27625,96.23940523577852
5m,2026-06-08 11:25:00+05:30,95.65,97.5,94.25,96.5,24115,96.23759718969555
5m,2026-06-08 11:30:00+05:30,96.5,100.0,95.6,98.8,46345,96.27888437493637
5m,2026-06-08 11:35:00+05:30,98.8,102.9,97.95,102.0,33800,96.35191883657066
5m,2026-06-08 11:40:00+05:30,102.0,103.05,100.6,101.65,21970,96.40639510656031
5m,2026-06-08 11:45:00+05:30,101.6,103.65,99.35,102.65,22165,96.46142754712163
5m,2026-06-08 11:50:00+05:30,102.65,102.65,98.85,99.75,21450,96.49951751442107
5m,2026-06-08 11:55:00+05:30,99.75,103.3,99.3,100.25,36595,96.5714561202029
5m,2026-06-08 12:00:00+05:30,100.4,101.75,97.1,100.45,57525,96.65063185402958
5m,2026-06-08 12:05:00+05:30,100.6,101.65,96.4,101.0,43355,96.70623110329284
5m,2026-06-08 12:10:00+05:30,101.0,105.65,99.9,103.0,72150,96.88812546676624
5m,2026-06-08 12:15:00+05:30,103.0,104.35,101.0,102.65,79170,97.06994575045208
5m,2026-06-08 12:20:00+05:30,102.65,106.0,102.0,105.7,46150,97.20497040419414
5m,2026-06-08 12:25:00+05:30,105.7,105.8,102.5,103.7,38805,97.3063431374999
5m,2026-06-08 12:30:00+05:30,103.1,106.35,101.85,104.3,28730,97.38128970068465
5m,2026-06-08 12:35:00+05:30,104.3,105.5,102.25,104.35,102570,97.63099650308062
5m,2026-06-08 12:40:00+05:30,104.35,113.95,102.4,109.0,177320,98.29031162738747
5m,2026-06-08 12:45:00+05:30,109.0,112.85,106.1,110.65,93080,98.6491518208253
5m,2026-06-08 12:50:00+05:30,111.5,122.85,111.0,115.4,149110,99.48969293270916
5m,2026-06-08 12:55:00+05:30,115.4,118.0,112.75,113.3,68835,99.8144167507568
5m,2026-06-08 13:00:00+05:30,113.15,116.3,107.0,108.25,52715,99.98676290515809
5m,2026-06-08 13:05:00+05:30,108.25,109.75,103.2,106.7,43875,100.07356800428455
5m,2026-06-08 13:10:00+05:30,106.7,106.7,103.25,103.25,18720,100.09784538747304
5m,2026-06-08 13:15:00+05:30,103.25,107.85,103.25,104.9,32045,100.1476571395488
5m,2026-06-08 13:20:00+05:30,104.9,105.55,100.85,103.4,23205,100.16899892666845
5m,2026-06-08 13:25:00+05:30,103.4,103.4,97.9,101.4,45240,100.17862209192359
5m,2026-06-08 13:30:00+05:30,100.7,102.6,96.6,99.45,26455,100.17381984721362
5m,2026-06-08 13:35:00+05:30,99.45,100.75,94.05,98.75,45630,100.14359843642899
5m,2026-06-08 13:40:00+05:30,98.75,99.0,90.0,90.0,60255,100.02299020143518
5m,2026-06-08 13:45:00+05:30,90.0,91.95,84.4,91.0,85475,99.76789307672696
5m,2026-06-08 13:50:00+05:30,91.1,92.35,88.3,89.95,53365,99.63018331521802
5m,2026-06-08 13:55:00+05:30,90.0,91.0,86.25,91.0,30615,99.54654020250493
5m,2026-06-08 14:00:00+05:30,91.0,91.95,89.65,90.7,44460,99.44334874077128
5m,2026-06-08 14:05:00+05:30,90.65,90.65,85.5,86.0,35555,99.33105083072314
5m,2026-06-08 14:10:00+05:30,86.0,86.65,83.4,84.5,63895,99.09271853600549
5m,2026-06-08 14:15:00+05:30,84.5,87.95,81.7,86.9,96785,98.76249863870012
5m,2026-06-08 14:20:00+05:30,86.9,86.9,83.05,84.2,66170,98.53274228449614
5m,2026-06-08 14:25:00+05:30,84.2,84.8,81.85,82.65,60775,98.30431356097662
5m,2026-06-08 14:30:00+05:30,82.65,86.95,82.5,84.4,30095,98.20471932361075
5m,2026-06-08 14:35:00+05:30,84.4,85.8,83.0,84.0,31980,98.09777774312269
5m,2026-06-08 14:40:00+05:30,84.0,88.4,83.05,87.75,44005,97.97556673508123
5m,2026-06-08 14:45:00+05:30,87.75,90.45,85.45,86.7,55900,97.83879877959009
5m,2026-06-08 14:50:00+05:30,86.75,87.95,83.4,85.3,43095,97.71595526003657
5m,2026-06-08 14:55:00+05:30,84.9,90.1,82.65,86.75,61815,97.55740641644988
5m,2026-06-08 15:00:00+05:30,86.35,86.8,69.8,72.2,178425,96.72274373988382
5m,2026-06-08 15:05:00+05:30,72.2,76.25,70.55,75.4,188695,95.82082539116601
5m,2026-06-08 15:10:00+05:30,75.4,76.6,72.5,75.45,109070,95.34912869800672
