tf,date,open,high,low,close,volume,vwap
5m,2026-06-08 09:15:00+05:30,280.0,280.0,189.15,220.0,99905,229.71666666666664
5m,2026-06-08 09:20:00+05:30,220.0,223.8,210.0,219.65,28145,227.10108291032148
5m,2026-06-08 09:25:00+05:30,219.65,227.1,216.45,226.35,36660,226.2550644567219
5m,2026-06-08 09:30:00+05:30,226.35,239.1,224.05,238.1,51675,228.04493341343746
5m,2026-06-08 09:35:00+05:30,236.8,237.55,219.5,232.0,25025,228.2147729312511
5m,2026-06-08 09:40:00+05:30,232.0,236.45,225.0,231.9,12545,228.35812217387593
5m,2026-06-08 09:45:00+05:30,231.9,239.7,217.35,218.35,28990,228.02771651734437
5m,2026-06-08 09:50:00+05:30,218.35,235.0,215.35,234.75,14495,228.04423441142188
5m,2026-06-08 09:55:00+05:30,234.75,251.5,233.5,248.55,46020,230.25136575826392
5m,2026-06-08 10:00:00+05:30,248.55,248.55,232.0,232.0,29835,230.83203319983747
5m,2026-06-08 10:05:00+05:30,230.0,243.0,227.0,239.35,23010,231.15821988956316
5m,2026-06-08 10:10:00+05:30,239.35,243.0,232.3,232.5,12675,231.30620894257257
5m,2026-06-08 10:15:00+05:30,232.5,238.85,229.6,238.0,14755,231.45166180907088
5m,2026-06-08 10:20:00+05:30,238.0,240.3,233.0,235.05,9230,231.55111094430262
5m,2026-06-08 10:25:00+05:30,235.05,236.1,227.95,233.0,26845,231.59775233248513
5m,2026-06-08 10:30:00+05:30,233.0,253.5,233.0,250.4,35685,232.60857929948835
5m,2026-06-08 10:35:00+05:30,251.05,251.8,244.65,248.25,20345,233.22482778897847
5m,2026-06-08 10:40:00+05:30,248.25,256.55,235.0,235.0,35880,233.8074261702796
5m,2026-06-08 10:45:00+05:30,235.0,246.0,230.85,242.0,35230,234.15610926541154
5m,2026-06-08 10:50:00+05:30,242.0,246.8,237.7,241.0,28665,234.51358533065846
5m,2026-06-08 10:55:00+05:30,241.0,250.25,236.0,247.9,16770,234.78415733031827
5m,2026-06-08 11:00:00+05:30,247.9,248.95,241.0,242.65,18590,235.0530470960226
5m,2026-06-08 11:05:00+05:30,242.65,243.8,234.05,238.7,17550,235.15272403176144
5m,2026-06-08 11:10:00+05:30,238.7,242.0,235.2,238.4,22750,235.26398056730918
5m,2026-06-08 11:15:00+05:30,238.4,240.3,229.5,231.3,40820,235.1767764657137
5m,2026-06-08 11:20:00+05:30,231.3,237.1,229.05,231.65,21580,235.10299554405634
5m,2026-06-08 11:25:00+05:30,231.65,235.25,230.0,232.75,9750,235.07188023272312
5m,2026-06-08 11:30:00+05:30,232.75,239.25,231.0,236.4,22685,235.0856774709222
5m,2026-06-08 11:35:00+05:30,236.4,244.65,235.3,244.65,21775,235.25946174269853
5m,2026-06-08 11:40:00+05:30,244.65,245.0,238.95,241.75,18005,235.40423028490477
5m,2026-06-08 11:45:00+05:30,241.75,246.6,238.3,245.2,18005,235.57411358443093
5m,2026-06-08 11:50:00+05:30,245.2,245.55,237.3,240.85,10725,235.64513360713926
5m,2026-06-08 11:55:00+05:30,240.85,246.3,239.95,242.25,15405,235.77241065869757
5m,2026-06-08 12:00:00+05:30,242.25,244.65,235.4,242.15,11180,235.83535074131444
5m,2026-06-08 12:05:00+05:30,242.15,244.7,233.8,242.7,14690,235.9101973445549
5m,2026-06-08 12:10:00+05:30,242.7,253.0,241.3,247.1,35295,236.33558913862908
5m,2026-06-08 12:15:00+05:30,247.1,250.0,243.35,245.5,13065,236.4732291594961
5m,2026-06-08 12:20:00+05:30,245.5,253.1,245.5,253.1,19695,236.76118004045853
5m,2026-06-08 12:25:00+05:30,253.1,253.6,246.9,249.5,24505,237.08938646675873
5m,2026-06-08 12:30:00+05:30,249.5,254.0,245.9,251.1,23400,237.39566390441317
5m,2026-06-08 12:35:00+05:30,251.1,252.8,248.0,251.6,14040,237.57911043527847
5m,2026-06-08 12:40:00+05:30,251.6,267.85,249.25,261.95,75075,239.08639449757942
5m,2026-06-08 12:45:00+05:30,261.95,267.8,255.75,264.3,54860,240.20322892063135
5m,2026-06-08 12:50:00+05:30,264.3,284.65,264.25,271.4,86840,242.52540799246782
5m,2026-06-08 12:55:00+05:30,271.4,276.0,267.4,267.4,45760,243.51066912185115
5m,2026-06-08 13:00:00+05:30,267.4,272.55,256.5,258.2,44395,244.14040803056167
5m,2026-06-08 13:05:00+05:30,258.2,261.6,250.3,256.75,37960,244.4748257385367
5m,2026-06-08 13:10:00+05:30,256.75,256.75,250.4,251.1,16120,244.57100810798147
5m,2026-06-08 13:15:00+05:30,251.1,259.45,250.6,253.1,27755,244.76352156466342
