tf,date,open,high,low,close,volume,vwap
5m,2026-06-08 09:15:00+05:30,122.0,144.95,103.15,122.65,662090,123.58333333333331
5m,2026-06-08 09:20:00+05:30,122.65,124.5,116.35,121.35,250055,122.80203567780707
5m,2026-06-08 09:25:00+05:30,121.35,125.85,120.0,124.75,182195,122.92378831076265
5m,2026-06-08 09:30:00+05:30,124.75,132.6,123.4,130.3,598585,124.98971523644974
5m,2026-06-08 09:35:00+05:30,130.3,130.3,119.5,127.25,279825,125.08810159253159
5m,2026-06-08 09:40:00+05:30,127.25,130.6,123.05,127.7,137995,125.22072388343136
5m,2026-06-08 09:45:00+05:30,127.7,131.95,118.0,118.7,182845,125.03438710347825
5m,2026-06-08 09:50:00+05:30,118.7,129.05,117.0,129.05,153075,125.03432117460571
5m,2026-06-08 09:55:00+05:30,129.05,139.6,127.6,138.0,243815,125.94346612872053
5m,2026-06-08 10:00:00+05:30,138.0,138.0,125.0,125.0,139750,126.11084967770581
5m,2026-06-08 10:05:00+05:30,125.0,133.55,123.3,131.0,94770,126.21363814814814
5m,2026-06-08 10:10:00+05:30,131.0,133.5,127.0,127.0,57330,126.27040487918282
5m,2026-06-08 10:15:00+05:30,127.0,130.9,125.3,130.7,57395,126.32131472967674
5m,2026-06-08 10:20:00+05:30,130.7,131.5,127.5,128.9,60515,126.37945704741136
5m,2026-06-08 10:25:00+05:30,128.9,129.2,123.75,127.25,114790,126.39209190894017
5m,2026-06-08 10:30:00+05:30,127.25,139.9,126.65,139.2,102765,126.66645573340124
5m,2026-06-08 10:35:00+05:30,139.2,139.7,134.0,136.8,111995,126.9984409152358
5m,2026-06-08 10:40:00+05:30,136.8,141.0,128.35,128.6,85540,127.13596267396422
5m,2026-06-08 10:45:00+05:30,128.6,134.9,125.05,132.95,257855,127.39774845389239
5m,2026-06-08 10:50:00+05:30,132.95,135.9,130.0,132.35,88205,127.52000892165773
5m,2026-06-08 10:55:00+05:30,132.35,137.65,128.2,136.0,58435,127.61586435618935
5m,2026-06-08 11:00:00+05:30,136.0,137.0,131.4,132.05,249275,127.9666866749818
5m,2026-06-08 11:05:00+05:30,132.05,133.2,126.65,130.5,58825,127.99660030235476
5m,2026-06-08 11:10:00+05:30,130.5,132.0,127.6,129.0,51155,128.01497144245957
5m,2026-06-08 11:15:00+05:30,129.0,131.0,124.3,126.5,83850,128.00058997050144
5m,2026-06-08 11:20:00+05:30,126.5,129.2,123.6,125.85,43290,127.98306337404848
5m,2026-06-08 11:25:00+05:30,125.85,127.85,123.9,125.85,44005,127.96213588451516
5m,2026-06-08 11:30:00+05:30,125.85,130.9,125.15,129.9,449605,128.02525381832973
5m,2026-06-08 11:35:00+05:30,129.65,134.95,128.3,133.95,58370,128.07675515644115
5m,2026-06-08 11:40:00+05:30,133.95,135.0,131.5,133.0,42965,128.12048257755941
5m,2026-06-08 11:45:00+05:30,133.0,136.0,130.5,134.7,50375,128.1764550843241
5m,2026-06-08 11:50:00+05:30,134.7,134.85,130.05,132.1,27950,128.19932839386104
5m,2026-06-08 11:55:00+05:30,132.1,135.1,131.1,132.75,42575,128.2390934125201
