date,open,high,low,close,volume,vwap
2026-04-01 09:15:00+05:30,23280.0,23313.8,23089.2,23250.0,95355,23217.666666666668
2026-04-01 10:15:00+05:30,23250.0,23262.0,23125.0,23150.4,39065,23206.468149580913
2026-04-01 11:15:00+05:30,23150.4,23258.9,23135.4,23245.0,29705,23207.668448844885
2026-04-01 12:15:00+05:30,23245.0,23269.2,23218.1,23268.0,10660,23210.357964546918
2026-04-01 13:15:00+05:30,23268.0,23280.1,23032.0,23147.0,47970,23198.01317965178
2026-04-01 14:15:00+05:30,23147.0,23152.5,23017.2,23080.0,26910,23185.641699210275
2026-04-01 15:15:00+05:30,23080.0,23115.3,23059.4,23103.0,8320,23182.64003527337
2026-04-02 09:15:00+05:30,22759.7,22772.4,22546.0,22583.6,75465,22634.0
2026-04-02 10:15:00+05:30,22583.6,22618.1,22550.0,22597.2,81770,22610.303072895138
2026-04-02 11:15:00+05:30,22597.2,22667.9,22559.0,22622.5,55575,22611.912685807372
2026-04-02 12:15:00+05:30,22622.5,22761.0,22593.9,22721.5,50960,22627.411204205688
2026-04-02 13:15:00+05:30,22721.5,22990.0,22721.5,22980.0,45370,22667.00105130362
2026-04-02 14:15:00+05:30,22980.0,23090.0,22920.0,23077.1,58110,22724.285451327436
2026-04-02 15:15:00+05:30,23077.1,23106.9,23000.7,23055.3,19435,22740.87216338881
2026-04-06 09:15:00+05:30,23055.3,23100.0,22930.0,23025.7,108095,23018.566666666662
2026-04-06 10:15:00+05:30,23025.7,23049.7,22920.0,22937.0,78650,22997.64892678965
2026-04-06 11:15:00+05:30,22937.0,23070.0,22925.0,23018.8,21645,22998.37091911
2026-04-06 12:15:00+05:30,23018.8,23249.9,23010.0,23240.0,85930,23047.49700382803
2026-04-06 13:15:00+05:30,23240.0,23288.0,23219.9,23288.0,44915,23076.334304145108
2026-04-06 14:15:00+05:30,23288.0,23373.8,23258.5,23370.0,34190,23099.93478387003
2026-04-06 15:15:00+05:30,23370.0,23370.0,23323.0,23345.0,14820,23109.327529438026
2026-04-07 09:15:00+05:30,23217.0,23285.7,23105.4,23265.0,127010,23218.7
2026-04-07 10:15:00+05:30,23265.0,23310.0,23180.0,23211.4,32630,23221.786400651465
2026-04-07 11:15:00+05:30,23212.6,23328.9,23212.6,23261.0,36920,23230.372817460317
2026-04-07 12:15:00+05:30,23261.0,23296.6,23250.0,23290.0,9555,23232.620876695048
2026-04-07 13:15:00+05:30,23290.0,23410.3,23276.0,23360.0,55055,23257.10457109673
2026-04-07 14:15:00+05:30,23360.0,23468.4,23340.0,23442.3,69550,23290.70934879455
2026-04-07 15:15:00+05:30,23442.3,23475.4,23435.0,23474.0,22165,23301.43475778228
2026-04-08 09:15:00+05:30,24117.1,24284.5,24098.4,24205.0,123045,24195.966666666664
2026-04-08 10:15:00+05:30,24205.0,24331.5,24196.7,24323.9,38415,24216.919726247983
2026-04-08 11:15:00+05:30,24323.9,24343.7,24275.0,24305.0,20800,24227.302639087015
