date,open,high,low,close,volume,vwap
2026-06-02 09:15:00+05:30,23299.0,23347.8,23286.0,23343.9,369330,23325.900000000005
2026-06-02 09:20:00+05:30,23343.9,23356.4,23330.8,23353.3,258635,23334.52164717248
2026-06-02 09:25:00+05:30,23353.3,23370.2,23338.1,23353.1,137670,23337.988117270852
2026-06-02 09:30:00+05:30,23353.9,23364.0,23332.5,23359.9,92170,23339.508001818594
2026-06-02 09:35:00+05:30,23359.9,23378.4,23353.7,23369.0,98865,23342.35254790053
2026-06-02 09:40:00+05:30,23369.0,23374.9,23345.0,23373.6,65195,23343.765555626233
2026-06-02 09:45:00+05:30,23373.6,23375.9,23347.0,23362.3,85800,23345.15734405258
2026-06-02 09:50:00+05:30,23362.2,23391.0,23355.1,23388.4,65000,23346.987027696174
2026-06-02 09:55:00+05:30,23390.0,23400.0,23378.0,23398.0,63635,23349.303941465125
2026-06-02 10:00:00+05:30,23398.0,23398.2,23382.7,23393.7,40690,23350.64953849808
2026-06-02 10:05:00+05:30,23393.7,23400.0,23370.0,23378.0,63960,23352.176676361283
2026-06-02 10:10:00+05:30,23378.0,23380.6,23358.8,23360.0,33995,23352.52999101782
2026-06-02 10:15:00+05:30,23360.0,23392.0,23348.0,23392.0,59020,23353.550862003834
2026-06-02 10:20:00+05:30,23393.0,23438.0,23386.0,23423.0,95355,23357.4238595149
2026-06-02 10:25:00+05:30,23430.0,23450.0,23422.7,23447.6,72865,23361.183847891054
2026-06-02 10:30:00+05:30,23447.6,23450.0,23408.7,23424.0,51740,23363.26051221589
2026-06-02 10:35:00+05:30,23420.0,23429.8,23406.3,23426.9,36725,23364.514753300013
2026-06-02 10:40:00+05:30,23426.9,23439.8,23421.7,23423.5,20995,23365.297550601907
2026-06-02 10:45:00+05:30,23423.5,23430.0,23403.7,23403.7,28080,23366.05888286942
2026-06-02 10:50:00+05:30,23402.6,23414.9,23375.0,23381.9,46540,23366.69828608857
2026-06-02 10:55:00+05:30,23381.9,23384.9,23359.8,23381.9,55120,23366.9627543036
2026-06-02 11:00:00+05:30,23381.9,23387.9,23371.0,23378.0,32890,23367.17340038148
2026-06-02 11:05:00+05:30,23378.0,23387.9,23368.6,23372.1,13130,23367.236195199228
2026-06-02 11:10:00+05:30,23372.1,23400.0,23370.0,23398.9,20215,23367.47353709509
2026-06-02 11:15:00+05:30,23398.9,23398.9,23375.0,23397.2,17290,23367.679168636456
2026-06-02 11:20:00+05:30,23397.2,23445.0,23387.6,23445.0,187785,23372.851112205026
2026-06-02 11:25:00+05:30,23445.0,23445.0,23407.3,23421.0,25415,23373.464252852595
2026-06-02 11:30:00+05:30,23421.0,23427.9,23410.0,23419.1,11180,23373.701116958004
2026-06-02 11:35:00+05:30,23419.1,23421.1,23369.0,23369.0,24700,23373.8450178397
2026-06-02 11:40:00+05:30,23369.0,23392.9,23368.6,23378.0,14885,23373.88574016332
2026-06-02 11:45:00+05:30,23378.0,23392.9,23371.0,23388.0,11895,23373.940226829698
2026-06-02 11:50:00+05:30,23388.0,23393.0,23380.0,23386.0,10725,23374.000329189075
2026-06-02 11:55:00+05:30,23381.3,23394.1,23365.0,23371.0,20540,23374.025172544334
2026-06-02 12:00:00+05:30,23371.0,23386.0,23360.6,23374.0,12545,23374.022423645696
2026-06-02 12:05:00+05:30,23374.0,23389.9,23361.2,23381.6,11375,23374.04029446509
2026-06-02 12:10:00+05:30,23381.6,23386.8,23359.4,23360.0,19890,23373.9939136892
2026-06-02 12:15:00+05:30,23360.0,23379.9,23358.7,23372.0,28795,23373.946511168768
2026-06-02 12:20:00+05:30,23372.0,23375.0,23364.7,23370.9,8970,23373.93198572793
2026-06-02 12:25:00+05:30,23374.4,23375.0,23360.0,23360.0,19175,23373.858566691742
2026-06-02 12:30:00+05:30,23360.0,23440.0,23360.0,23426.4,96590,23375.24781003344
2026-06-02 12:35:00+05:30,23426.4,23433.0,23410.0,23430.0,35165,23375.948181066917
2026-06-02 12:40:00+05:30,23430.0,23473.8,23423.0,23473.8,142220,23380.362943845998
2026-06-02 12:45:00+05:30,23464.8,23542.3,23464.8,23530.0,390780,23397.571860091943
2026-06-02 12:50:00+05:30,23525.7,23551.0,23521.0,23536.0,329615,23411.28567605056
2026-06-02 12:55:00+05:30,23536.0,23575.0,23527.3,23559.9,150475,23417.4637253436
2026-06-02 13:00:00+05:30,23559.9,23564.0,23539.2,23555.0,100555,23421.2651038166
2026-06-02 13:05:00+05:30,23555.0,23569.0,23548.7,23560.0,62985,23423.6516798172
2026-06-02 13:10:00+05:30,23560.0,23599.0,23555.0,23588.0,136110,23429.30953675661
2026-06-02 13:15:00+05:30,23588.0,23595.0,23575.1,23580.0,44005,23431.08362165258
2026-06-02 13:20:00+05:30,23580.0,23590.8,23568.8,23590.0,32045,23432.348649393298
2026-06-02 13:25:00+05:30,23590.0,23615.5,23590.0,23609.8,80925,23435.90202939735
2026-06-02 13:30:00+05:30,23609.8,23645.6,23609.8,23632.8,155025,23443.23755616311
2026-06-02 13:35:00+05:30,23632.8,23636.0,23602.0,23603.1,45175,23445.10010900268
2026-06-02 13:40:00+05:30,23603.1,23615.0,23590.2,23602.9,27950,23446.158371462334
2026-06-02 13:45:00+05:30,23602.9,23630.0,23600.0,23630.0,28925,23447.358078740323
2026-06-02 13:50:00+05:30,23630.0,23635.0,23609.4,23618.9,69485,23450.191446863257
2026-06-02 13:55:00+05:30,23618.9,23622.1,23608.1,23618.0,17550,23450.87187270527
2026-06-02 14:00:00+05:30,23618.0,23632.0,23610.0,23631.0,27235,23451.969100241546
2026-06-02 14:05:00+05:30,23631.0,23635.0,23621.0,23635.0,21970,23452.87461123294
2026-06-02 14:10:00+05:30,23635.0,23638.0,23625.2,23627.1,40495,23454.517613825188
2026-06-02 14:15:00+05:30,23627.1,23638.0,23607.1,23610.0,68120,23457.033603911164
2026-06-02 14:20:00+05:30,23610.0,23650.0,23606.3,23630.0,178750,23463.685330309814
2026-06-02 14:25:00+05:30,23630.0,23631.5,23605.1,23611.0,119145,23467.515355429845
2026-06-02 14:30:00+05:30,23610.8,23620.0,23600.0,23617.0,96135,23470.397644583798
2026-06-02 14:35:00+05:30,23617.0,23619.7,23567.3,23567.3,43160,23471.41052928754
2026-06-02 14:40:00+05:30,23568.7,23574.0,23525.0,23536.0,175240,23473.964857325554
2026-06-02 14:45:00+05:30,23536.0,23556.4,23516.0,23555.0,96200,23475.245734103166
2026-06-02 14:50:00+05:30,23555.0,23568.2,23548.4,23562.6,134940,23477.4050685117
2026-06-02 14:55:00+05:30,23562.6,23562.9,23536.2,23537.0,30680,23477.797703358257
2026-06-02 15:00:00+05:30,23537.0,23585.0,23522.0,23583.0,54015,23478.65896724423
2026-06-02 15:05:00+05:30,23583.0,23598.0,23571.7,23597.5,66560,23480.01207402797
2026-06-02 15:10:00+05:30,23597.5,23619.0,23593.1,23609.0,63245,23481.474230324824
2026-06-02 15:15:00+05:30,23608.7,23628.0,23600.0,23621.8,67990,23483.125937698413
2026-06-02 15:20:00+05:30,23617.7,23625.0,23611.2,23614.1,68315,23484.747386790415
2026-06-02 15:25:00+05:30,23614.1,23625.0,23601.2,23605.2,108420,23487.122457678306
2026-06-03 09:15:00+05:30,23500.0,23511.0,23351.0,23356.6,789360,23406.2
2026-06-03 09:20:00+05:30,23356.6,23368.2,23340.9,23360.0,356395,23390.698997749667
2026-06-03 09:25:00+05:30,23362.0,23365.0,23320.5,23341.7,220415,23382.906538839725
2026-06-03 09:30:00+05:30,23341.7,23356.7,23311.0,23311.0,180375,23376.296689502517
2026-06-03 09:35:00+05:30,23314.6,23340.1,23304.2,23331.5,118365,23372.668764477763
2026-06-03 09:40:00+05:30,23331.5,23339.5,23315.0,23325.0,93795,23370.20649862636
2026-06-03 09:45:00+05:30,23325.0,23345.0,23318.0,23340.0,116935,23367.97002009981
2026-06-03 09:50:00+05:30,23342.0,23358.7,23310.0,23310.0,144820,23364.978470166865
2026-06-03 09:55:00+05:30,23310.0,23334.0,23283.0,23315.0,176085,23360.624589905212
2026-06-03 10:00:00+05:30,23315.0,23345.3,23310.4,23342.0,61165,23359.864455576673
2026-06-03 10:05:00+05:30,23342.0,23354.0,23316.8,23328.9,42705,23359.370074312683
2026-06-03 10:10:00+05:30,23328.9,23328.9,23290.0,23298.4,57395,23358.06523313301
2026-06-03 10:15:00+05:30,23298.4,23324.6,23285.8,23324.0,57070,23356.963985788116
2026-06-03 10:20:00+05:30,23324.0,23340.0,23319.0,23322.1,61360,23356.222319053624
2026-06-03 10:25:00+05:30,23322.1,23332.3,23304.4,23315.4,71045,23355.138616278382
2026-06-03 10:30:00+05:30,23315.4,23322.2,23271.0,23280.0,120120,23352.25329418168
2026-06-03 10:35:00+05:30,23280.0,23298.4,23270.0,23293.0,59930,23350.82235912836
2026-06-03 10:40:00+05:30,23293.0,23309.1,23285.0,23292.0,31525,23350.188676844788
2026-06-03 10:45:00+05:30,23292.0,23303.3,23281.1,23300.9,26650,23349.661623185704
2026-06-03 10:50:00+05:30,23300.9,23305.2,23290.0,23302.2,19370,23349.312683846252
2026-06-03 10:55:00+05:30,23302.2,23306.2,23280.0,23288.0,26845,23348.7636665519
2026-06-03 11:00:00+05:30,23288.0,23300.0,23274.0,23280.0,22165,23348.26585128836
2026-06-03 11:05:00+05:30,23280.0,23286.5,23258.0,23259.0,77090,23346.150332653244
2026-06-03 11:10:00+05:30,23259.0,23278.4,23257.0,23262.0,53235,23344.71697414563
2026-06-03 11:15:00+05:30,23262.0,23297.0,23255.6,23289.4,44850,23343.76861011566
2026-06-03 11:20:00+05:30,23289.4,23309.0,23275.0,23292.5,31460,23343.238179179498
2026-06-03 11:25:00+05:30,23292.5,23299.9,23270.1,23284.0,32500,23342.622738257855
2026-06-03 11:30:00+05:30,23284.0,23298.0,23271.0,23287.4,11765,23342.406156401343
2026-06-03 11:35:00+05:30,23287.4,23290.0,23261.0,23265.4,22165,23341.908036945417
2026-06-03 11:40:00+05:30,23265.4,23286.4,23260.0,23277.0,19370,23341.492841648585
2026-06-03 11:45:00+05:30,23277.0,23292.3,23271.0,23276.9,24765,23341.013126716676
2026-06-03 11:50:00+05:30,23276.9,23288.0,23270.9,23280.0,15990,23340.70517621145
2026-06-03 11:55:00+05:30,23280.0,23280.0,23250.0,23250.0,55640,23339.320401699802
2026-06-03 12:00:00+05:30,23250.0,23260.0,23212.0,23231.0,142675,23334.895798373105
2026-06-03 12:05:00+05:30,23231.3,23244.9,23225.0,23244.4,55575,23333.33245242862
2026-06-03 12:10:00+05:30,23244.4,23249.0,23231.0,23246.0,44915,23332.155650238983
2026-06-03 12:15:00+05:30,23246.9,23255.9,23232.6,23251.0,128505,23329.11027347168
2026-06-03 12:20:00+05:30,23251.0,23268.5,23250.4,23260.0,129025,23326.715598502073
2026-06-03 12:25:00+05:30,23260.0,23322.0,23251.0,23306.4,135915,23325.539020698587
2026-06-03 12:30:00+05:30,23306.4,23371.9,23306.4,23370.0,233740,23326.896900976637
2026-06-03 12:35:00+05:30,23370.0,23430.0,23369.9,23410.1,360230,23333.052244018207
2026-06-03 12:40:00+05:30,23410.1,23437.0,23401.2,23403.5,473785,23340.795077235714
2026-06-03 12:45:00+05:30,23404.1,23419.0,23370.9,23379.2,123500,23341.98621355655
2026-06-03 12:50:00+05:30,23382.0,23399.8,23353.5,23353.5,76830,23342.388424610537
2026-06-03 12:55:00+05:30,23353.5,23373.9,23351.1,23360.0,237640,23343.239164564395
2026-06-03 13:00:00+05:30,23360.0,23389.0,23353.0,23372.4,34645,23343.41960662029
2026-06-03 13:05:00+05:30,23372.4,23384.0,23350.0,23370.0,75660,23343.758028955333
2026-06-03 13:10:00+05:30,23370.0,23382.0,23360.0,23382.0,7150,23343.798191855472
2026-06-03 13:15:00+05:30,23387.0,23418.6,23382.5,23395.0,301925,23346.65397858132
2026-06-03 13:20:00+05:30,23395.0,23430.0,23392.1,23425.8,46605,23347.20607151321
2026-06-03 13:25:00+05:30,23429.7,23439.0,23410.2,23430.4,70980,23348.15687023459
2026-06-03 13:30:00+05:30,23422.2,23435.0,23400.0,23418.0,51675,23348.758159508754
2026-06-03 13:35:00+05:30,23418.0,23430.3,23410.0,23417.0,28860,23349.096359744584
2026-06-03 13:40:00+05:30,23417.0,23439.0,23401.5,23416.7,87490,23350.101557924994
2026-06-03 13:45:00+05:30,23416.2,23532.6,23413.3,23490.0,336700,23356.835394226262
2026-06-03 13:50:00+05:30,23488.0,23490.0,23460.0,23473.0,100880,23358.651244875942
2026-06-03 13:55:00+05:30,23473.0,23475.0,23438.0,23459.0,55705,23359.48624566392
2026-06-03 14:00:00+05:30,23459.0,23500.1,23458.1,23500.1,59995,23360.629677934867
2026-06-03 14:05:00+05:30,23500.1,23516.0,23480.0,23492.0,72735,23362.0957399378
2026-06-03 14:10:00+05:30,23492.0,23503.9,23483.8,23500.0,81770,23363.705249788043
2026-06-03 14:15:00+05:30,23500.0,23531.4,23500.0,23524.7,74230,23365.37945814889
2026-06-03 14:20:00+05:30,23524.7,23565.0,23516.3,23552.1,293995,23372.72670065096
2026-06-03 14:25:00+05:30,23552.1,23555.6,23526.0,23531.1,61295,23374.124704859547
2026-06-03 14:30:00+05:30,23531.1,23559.0,23531.0,23553.9,96200,23376.408241767997
2026-06-03 14:35:00+05:30,23550.0,23554.8,23526.0,23554.6,55185,23377.670123944008
2026-06-03 14:40:00+05:30,23550.0,23574.3,23550.0,23565.0,111865,23380.439343110032
2026-06-03 14:45:00+05:30,23565.0,23572.0,23547.0,23559.9,58175,23381.82031027109
2026-06-03 14:50:00+05:30,23559.9,23580.0,23549.1,23573.0,73125,23383.600453976916
2026-06-03 14:55:00+05:30,23573.0,23573.0,23548.8,23555.7,63245,23385.045278390975
