tf,date,open,high,low,close,volume
5m,2026-05-11 09:15:00+05:30,550.0,576.95,542.0,550.15,20410
5m,2026-05-11 09:20:00+05:30,550.15,563.85,535.0,558.15,11245
5m,2026-05-11 09:25:00+05:30,558.15,571.4,550.0,570.0,13065
5m,2026-05-11 09:30:00+05:30,570.0,570.0,546.5,553.35,4030
5m,2026-05-11 09:35:00+05:30,553.35,553.35,523.5,529.15,21905
5m,2026-05-11 09:40:00+05:30,529.15,536.95,520.0,522.0,12155
5m,2026-05-11 09:45:00+05:30,522.0,533.4,520.5,530.05,14430
5m,2026-05-11 09:50:00+05:30,530.05,534.7,518.15,531.1,9425
5m,2026-05-11 09:55:00+05:30,531.1,536.0,519.1,523.55,9100
5m,2026-05-11 10:00:00+05:30,524.85,539.5,523.8,536.75,10725
5m,2026-05-11 10:05:00+05:30,536.75,540.95,533.35,535.0,2015
5m,2026-05-11 10:10:00+05:30,535.0,537.75,528.0,534.0,2665
5m,2026-05-11 10:15:00+05:30,534.0,534.0,505.0,505.1,8775
5m,2026-05-11 10:20:00+05:30,505.1,523.0,502.15,520.85,8905
5m,2026-05-11 10:25:00+05:30,520.85,525.6,517.55,519.0,3380
5m,2026-05-11 10:30:00+05:30,519.0,525.0,517.0,521.6,1105
5m,2026-05-11 10:35:00+05:30,521.6,525.95,510.0,519.0,3835
5m,2026-05-11 10:40:00+05:30,519.0,519.0,511.35,515.4,1495
5m,2026-05-11 10:45:00+05:30,515.4,515.4,508.95,514.8,1690
5m,2026-05-11 10:50:00+05:30,514.8,531.75,514.8,531.75,4485
5m,2026-05-11 10:55:00+05:30,531.75,534.95,525.9,531.55,5330
5m,2026-05-11 11:00:00+05:30,531.55,535.55,527.0,535.55,2730
5m,2026-05-11 11:05:00+05:30,535.55,544.5,534.2,536.2,4810
5m,2026-05-11 11:10:00+05:30,536.2,556.05,536.2,550.0,4940
5m,2026-05-11 11:15:00+05:30,550.0,553.0,546.1,552.0,3055
5m,2026-05-11 11:20:00+05:30,552.0,565.0,552.0,555.9,6435
5m,2026-05-11 11:25:00+05:30,555.9,565.7,547.6,557.35,2795
5m,2026-05-11 11:30:00+05:30,557.35,560.0,550.0,550.0,5005
5m,2026-05-11 11:35:00+05:30,550.0,564.95,550.0,564.95,3770
5m,2026-05-11 11:40:00+05:30,564.95,573.95,563.05,573.0,5070
5m,2026-05-11 11:45:00+05:30,573.0,573.0,548.0,548.0,4940
5m,2026-05-11 11:50:00+05:30,548.0,561.6,548.0,561.05,2405
5m,2026-05-11 11:55:00+05:30,561.05,561.05,549.2,553.4,910
5m,2026-05-11 12:00:00+05:30,553.4,558.35,546.8,558.35,3055
5m,2026-05-11 12:05:00+05:30,558.35,563.0,550.9,563.0,2275
5m,2026-05-11 12:10:00+05:30,563.0,563.0,557.3,558.2,1300
5m,2026-05-11 12:15:00+05:30,558.2,562.9,550.0,562.9,1235
5m,2026-05-11 12:20:00+05:30,562.9,566.0,553.0,566.0,3770
5m,2026-05-11 12:25:00+05:30,566.0,566.0,554.15,555.0,2860
5m,2026-05-11 12:30:00+05:30,555.0,556.0,540.0,553.8,8450
5m,2026-05-11 12:35:00+05:30,553.8,562.65,530.05,541.95,9165
5m,2026-05-11 12:40:00+05:30,541.95,580.0,540.85,574.15,9555
5m,2026-05-11 12:45:00+05:30,574.15,576.75,557.45,557.45,3835
5m,2026-05-11 12:50:00+05:30,557.45,572.0,557.45,562.0,5980
5m,2026-05-11 12:55:00+05:30,562.0,568.9,557.25,561.0,3445
5m,2026-05-11 13:00:00+05:30,561.0,561.0,542.2,542.55,4615
5m,2026-05-11 13:05:00+05:30,542.55,553.05,527.0,553.0,19175
5m,2026-05-11 13:10:00+05:30,553.0,565.25,553.0,564.05,8255
5m,2026-05-11 13:15:00+05:30,564.05,568.95,560.0,560.0,1820
5m,2026-05-11 13:20:00+05:30,560.0,569.0,560.0,562.0,2535
5m,2026-05-11 13:25:00+05:30,562.0,568.05,560.0,566.65,2405
5m,2026-05-11 13:30:00+05:30,566.65,568.75,566.0,567.7,1625
5m,2026-05-11 13:35:00+05:30,567.7,601.0,562.75,562.75,11960
5m,2026-05-11 13:40:00+05:30,562.75,585.4,562.0,580.0,7475
5m,2026-05-11 13:45:00+05:30,580.0,600.0,580.0,593.5,7280
5m,2026-05-11 13:50:00+05:30,593.5,609.0,587.45,605.0,5135
5m,2026-05-11 13:55:00+05:30,605.0,610.6,580.0,580.0,4810
5m,2026-05-11 14:00:00+05:30,580.0,586.95,573.0,580.0,3575
5m,2026-05-11 14:05:00+05:30,580.0,585.0,571.0,571.0,1365
5m,2026-05-11 14:10:00+05:30,571.0,572.45,557.05,562.15,4615
5m,2026-05-11 14:15:00+05:30,562.15,565.95,548.1,554.15,4550
5m,2026-05-11 14:20:00+05:30,554.15,563.0,552.1,555.0,5395
5m,2026-05-11 14:25:00+05:30,555.0,555.0,538.0,545.0,11765
5m,2026-05-11 14:30:00+05:30,545.0,555.0,539.3,555.0,6175
5m,2026-05-11 14:35:00+05:30,555.0,557.95,535.0,541.0,5655
5m,2026-05-11 14:40:00+05:30,541.0,544.0,531.0,533.45,7280
5m,2026-05-11 14:45:00+05:30,535.75,540.0,510.0,517.4,8645
5m,2026-05-11 14:50:00+05:30,517.4,527.0,517.25,519.65,12285
5m,2026-05-11 14:55:00+05:30,519.65,522.55,505.95,510.0,7150
5m,2026-05-11 15:00:00+05:30,510.0,510.0,477.75,487.8,16315
5m,2026-05-11 15:05:00+05:30,487.8,488.9,475.0,480.55,10985
5m,2026-05-11 15:10:00+05:30,480.55,485.85,475.05,479.5,5720
5m,2026-05-11 15:15:00+05:30,479.5,491.5,479.5,484.85,16055
5m,2026-05-11 15:20:00+05:30,484.85,486.95,481.1,482.65,9945
5m,2026-05-11 15:25:00+05:30,482.65,484.55,472.15,472.6,19695
5m,2026-05-12 09:15:00+05:30,400.0,406.75,363.3,385.0,126165
5m,2026-05-12 09:20:00+05:30,385.0,385.0,353.0,353.0,56290
5m,2026-05-12 09:25:00+05:30,353.0,353.0,330.85,333.0,108225
5m,2026-05-12 09:30:00+05:30,333.0,337.0,323.45,331.65,106470
5m,2026-05-12 09:35:00+05:30,331.65,340.55,325.8,327.25,87750
5m,2026-05-12 09:40:00+05:30,327.25,343.9,327.25,334.65,53885
5m,2026-05-12 09:45:00+05:30,334.65,340.55,329.2,332.0,59670
5m,2026-05-12 09:50:00+05:30,332.0,336.0,329.1,331.1,36140
5m,2026-05-12 09:55:00+05:30,331.1,337.0,325.25,328.1,57005
5m,2026-05-12 10:00:00+05:30,328.1,330.75,321.2,330.75,57590
5m,2026-05-12 10:05:00+05:30,330.75,333.0,316.65,327.85,81640
5m,2026-05-12 10:10:00+05:30,327.85,334.65,323.65,333.8,52130
5m,2026-05-12 10:15:00+05:30,333.25,344.9,331.85,344.0,70525
5m,2026-05-12 10:20:00+05:30,344.0,346.55,316.75,318.4,189865
5m,2026-05-12 10:25:00+05:30,318.4,321.55,308.7,315.3,80860
5m,2026-05-12 10:30:00+05:30,315.3,316.1,309.6,311.75,62010
5m,2026-05-12 10:35:00+05:30,311.75,316.75,303.35,310.25,100230
5m,2026-05-12 10:40:00+05:30,310.25,324.8,308.4,319.1,109655
5m,2026-05-12 10:45:00+05:30,319.1,321.2,306.35,307.8,54925
5m,2026-05-12 10:50:00+05:30,307.8,311.9,307.05,310.0,61945
5m,2026-05-12 10:55:00+05:30,310.0,318.2,308.25,315.0,50700
5m,2026-05-12 11:00:00+05:30,315.0,315.0,298.75,301.1,71110
5m,2026-05-12 11:05:00+05:30,301.1,306.85,296.15,305.0,72735
5m,2026-05-12 11:10:00+05:30,305.0,306.6,302.8,303.2,47125
5m,2026-05-12 11:15:00+05:30,303.2,313.85,302.8,312.1,77285
5m,2026-05-12 11:20:00+05:30,312.1,314.3,305.0,305.0,85020
5m,2026-05-12 11:25:00+05:30,304.8,312.0,302.0,302.0,70720
5m,2026-05-12 11:30:00+05:30,302.0,309.45,298.8,307.6,116610
5m,2026-05-12 11:35:00+05:30,307.6,309.0,298.7,308.05,71890
5m,2026-05-12 11:40:00+05:30,308.05,312.95,306.65,311.75,45240
5m,2026-05-12 11:45:00+05:30,311.75,312.95,303.0,306.0,48035
5m,2026-05-12 11:50:00+05:30,306.0,313.2,302.4,309.4,59800
5m,2026-05-12 11:55:00+05:30,309.4,315.8,307.0,307.0,36985
5m,2026-05-12 12:00:00+05:30,307.0,307.0,301.1,303.0,40495
5m,2026-05-12 12:05:00+05:30,303.0,304.65,283.15,285.05,177775
5m,2026-05-12 12:10:00+05:30,285.05,293.9,284.05,290.35,149175
