ts,spot,1h_close,1h_sma20,1h_sma50,1h_rsi,15m_K,15m_K_prev,regime,pos_active,pos_side,pos_engine,pos_strike,pos_ltp,pos_pnl_pct,pos_sl,tr_armed,tr_sl,peak_prem,day_losses,flips_today,halted,chop_block
2026-08-06T09:00:24.690862+05:30,24624.65,24570.2,24573.5225,24353.763,56.36653276408955,48.35129265446174,16.307674703998252,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T09:05:28.318745+05:30,24624.65,24570.2,24573.5225,24353.763,56.36653276408955,48.35129265446174,16.307674703998252,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T09:10:33.977721+05:30,24624.65,24570.2,24573.5225,24353.763,56.36653276408955,48.35129265446174,16.307674703998252,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T09:15:40.121965+05:30,24630.7,24624.65,24575.795,24366.513000000003,60.00814916525583,79.98704595063157,48.35134805137833,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T09:21:06.390909+05:30,24633.9,24624.65,24575.795,24366.513000000003,60.00814916525583,79.98704595063157,48.35134805137833,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T09:26:11.687219+05:30,24636.2,24624.65,24575.795,24366.513000000003,60.00814916525583,79.98704595063157,48.35134805137833,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T09:31:17.591678+05:30,24645.55,24624.65,24575.795,24366.513000000003,60.00814916525583,100.0,79.98701713070238,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T09:36:22.753067+05:30,24632.7,24624.65,24575.795,24366.513000000003,60.00814916525583,100.0,79.98701713070238,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T09:41:28.067528+05:30,24640.05,24624.65,24575.795,24366.513000000003,60.00814916525583,100.0,79.98701713070238,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T09:46:35.226248+05:30,24646.4,24624.65,24575.795,24366.513000000003,60.00814916525583,100.0,100.0,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T09:51:41.043577+05:30,24658.7,24624.65,24575.795,24366.513000000003,60.00814916525583,100.0,100.0,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T09:56:46.579126+05:30,24649.3,24624.65,24575.795,24366.513000000003,60.00814916525583,100.0,100.0,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T10:01:52.705737+05:30,24628.75,24624.65,24575.795,24366.513000000003,60.00769745284016,97.16781442301375,100.0,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T10:06:58.094822+05:30,24611.6,24624.65,24575.795,24366.513000000003,60.00769745284016,97.16781442301375,100.0,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T10:12:03.590099+05:30,24625.1,24624.65,24575.795,24366.513000000003,60.00769745284016,97.16781442301375,100.0,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T10:17:09.926105+05:30,24628.65,24630.85,24577.864999999998,24379.056999999997,60.412841872398,92.53120545322071,97.16781477176654,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T10:22:15.312693+05:30,24627.55,24630.85,24577.864999999998,24379.056999999997,60.412841872398,92.53120545322071,97.16781477176654,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T10:27:20.907643+05:30,24629.85,24630.85,24577.864999999998,24379.056999999997,60.412841872398,92.53120545322071,97.16781477176654,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T10:32:27.273417+05:30,24637.6,24630.85,24577.864999999998,24379.056999999997,60.412841872398,88.87982479850916,92.53121363752173,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T10:37:32.855345+05:30,24639.45,24630.85,24577.864999999998,24379.056999999997,60.412841872398,88.87982479850916,92.53121363752173,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T10:42:38.408274+05:30,24637.15,24630.85,24577.864999999998,24379.056999999997,60.412841872398,88.87982479850916,92.53121363752173,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T10:47:44.490393+05:30,24631.1,24630.85,24577.864999999998,24379.056999999997,60.412841872398,88.26338609012909,88.87978578301268,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T10:52:49.499091+05:30,24618.05,24630.85,24577.864999999998,24379.056999999997,60.412841872398,88.26338609012909,88.87978578301268,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T10:57:54.650222+05:30,24635.0,24630.85,24577.864999999998,24379.056999999997,60.412841872398,88.26338609012909,88.87978578301268,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T11:03:00.499012+05:30,24622.6,24630.85,24577.864999999998,24379.057,60.41176903568559,86.9734911839398,88.26342261709262,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T11:08:05.686348+05:30,24630.6,24630.85,24577.864999999998,24379.057,60.41176903568559,86.9734911839398,88.26342261709262,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T11:13:11.087983+05:30,24647.7,24630.85,24577.864999999998,24379.057,60.41176903568559,86.9734911839398,88.26342261709262,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T11:18:16.935706+05:30,24657.7,24652.45,24580.4225,24392.394,61.861334962674,89.78296259091304,86.97349338850228,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T11:23:22.015656+05:30,24667.75,24652.45,24580.4225,24392.394,61.861334962674,89.78296259091304,86.97349338850228,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T11:28:27.929824+05:30,24671.05,24652.45,24580.4225,24392.394,61.861334962674,89.78296259091304,86.97349338850228,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T11:33:34.929228+05:30,24663.2,24652.45,24580.4225,24392.394,61.861334962674,93.23154994703997,89.78297378947384,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T11:38:39.928655+05:30,24655.4,24652.45,24580.4225,24392.394,61.861334962674,93.23154994703997,89.78297378947384,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T11:43:45.138750+05:30,24633.35,24652.45,24580.4225,24392.394,61.861334962674,93.23154994703997,89.78297378947384,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T11:48:51.003623+05:30,24633.3,24652.45,24580.4225,24392.394,61.861334962674,85.94644180696395,93.23154256322765,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T11:53:55.935009+05:30,24646.1,24652.45,24580.4225,24392.394,61.861334962674,85.94644180696395,93.23154256322765,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T11:59:01.015493+05:30,24661.15,24652.45,24580.4225,24392.394,61.861334962674,85.94644180696395,93.23154256322765,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T12:04:07.213235+05:30,24656.15,24652.45,24580.4225,24392.394,61.86291109073393,77.25846851428078,85.94644579200799,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T12:09:12.385932+05:30,24652.05,24652.45,24580.4225,24392.394,61.86291109073393,77.25846851428078,85.94644579200799,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T12:14:17.312914+05:30,24649.1,24652.45,24580.4225,24392.394,61.86291109073393,77.25846851428078,85.94644579200799,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T12:19:23.465184+05:30,24655.2,24643.15,24583.695,24404.953,60.830125417898685,50.48586159828768,77.25845120382132,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T12:24:28.535921+05:30,24634.5,24643.15,24583.695,24404.953,60.830125417898685,50.48586159828768,77.25845120382132,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T12:29:33.771695+05:30,24633.4,24643.15,24583.695,24404.953,60.830125417898685,50.48586159828768,77.25845120382132,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T12:34:39.359592+05:30,24644.6,24643.15,24583.695,24404.953,60.830125417898685,30.364103895200756,50.485771745659896,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T12:39:44.357232+05:30,24642.7,24643.15,24583.695,24404.953,60.830125417898685,30.364103895200756,50.485771745659896,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T12:44:49.457995+05:30,24643.95,24643.15,24583.695,24404.953,60.830125417898685,30.364103895200756,50.485771745659896,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T12:49:55.282393+05:30,24638.4,24643.15,24583.695,24404.953,60.830125417898685,11.30663956765467,30.364295956699266,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T12:55:00.185714+05:30,24630.8,24643.15,24583.695,24404.953,60.830125417898685,11.30663956765467,30.364295956699266,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
2026-08-06T13:00:05.419610+05:30,24632.4,24643.15,24583.695,24404.952999999998,60.828564909984,4.745795068016338,11.306539935259538,INSUFFICIENT,False,,PROB70,0,0,0,0.0,False,0.0,0.0,0,0,False,False
