variant,trades,nifty_pts,rs,wr_pct,avg_win,avg_loss,max_dd,red_months,v3_trades,v3_wr_pct,v3_rs
V2.5.5,933,10938,372598,35.3,35.7,-14.7,-1643,5,142,40.1,94601
V2.5.6,915,11193,385724,35.7,35.67,-14.79,-1331,5,123,41.5,83610
