tf,date,open,high,low,close,volume
5m,2026-05-06 09:15:00+05:30,595.0,715.8,595.0,657.7,14040
5m,2026-05-06 09:20:00+05:30,657.7,681.3,645.1,662.45,20020
5m,2026-05-06 09:25:00+05:30,662.45,671.2,644.8,650.05,12090
5m,2026-05-06 09:30:00+05:30,650.05,665.8,638.9,640.55,4225
5m,2026-05-06 09:35:00+05:30,640.55,644.9,627.55,627.55,4745
5m,2026-05-06 09:40:00+05:30,627.55,632.5,615.55,622.65,5265
5m,2026-05-06 09:45:00+05:30,622.65,628.05,617.4,619.3,2145
5m,2026-05-06 09:50:00+05:30,619.3,635.0,605.0,635.0,5395
5m,2026-05-06 09:55:00+05:30,635.0,649.15,623.2,623.2,4030
5m,2026-05-06 10:00:00+05:30,623.2,624.5,593.0,593.0,6500
5m,2026-05-06 10:05:00+05:30,593.0,593.5,580.0,588.05,5005
5m,2026-05-06 10:10:00+05:30,588.05,625.65,588.05,617.95,6630
5m,2026-05-06 10:15:00+05:30,617.95,629.1,602.55,624.2,3120
5m,2026-05-06 10:20:00+05:30,624.2,639.0,624.2,625.0,2860
5m,2026-05-06 10:25:00+05:30,625.0,634.5,614.1,615.1,1885
5m,2026-05-06 10:30:00+05:30,615.1,624.0,605.0,605.25,3055
5m,2026-05-06 10:35:00+05:30,605.25,608.15,598.0,607.75,3835
5m,2026-05-06 10:40:00+05:30,607.75,626.35,602.25,624.5,5655
5m,2026-05-06 10:45:00+05:30,624.5,624.5,608.0,608.0,2470
5m,2026-05-06 10:50:00+05:30,608.0,608.0,572.35,575.25,4875
5m,2026-05-06 10:55:00+05:30,575.25,587.3,574.4,582.2,3445
5m,2026-05-06 11:00:00+05:30,582.2,585.9,558.0,558.0,4615
5m,2026-05-06 11:05:00+05:30,558.0,581.65,558.0,578.9,4290
5m,2026-05-06 11:10:00+05:30,578.9,578.9,565.0,571.35,1625
5m,2026-05-06 11:15:00+05:30,571.35,587.65,565.2,568.35,3510
5m,2026-05-06 11:20:00+05:30,568.35,584.75,567.8,567.8,1495
5m,2026-05-06 11:25:00+05:30,567.8,592.0,567.8,591.2,3185
5m,2026-05-06 11:30:00+05:30,591.2,600.25,590.0,590.7,3120
5m,2026-05-06 11:35:00+05:30,590.7,590.7,545.6,555.4,7215
5m,2026-05-06 11:40:00+05:30,555.4,588.7,555.0,588.7,6890
5m,2026-05-06 11:45:00+05:30,588.7,589.45,579.0,587.65,2860
5m,2026-05-06 11:50:00+05:30,587.65,594.15,579.85,591.1,4290
5m,2026-05-06 11:55:00+05:30,591.1,600.15,580.55,580.55,1885
5m,2026-05-06 12:00:00+05:30,580.55,586.95,568.0,576.95,2795
5m,2026-05-06 12:05:00+05:30,576.95,576.95,558.3,570.0,2600
5m,2026-05-06 12:10:00+05:30,570.0,570.85,555.0,559.55,2730
5m,2026-05-06 12:15:00+05:30,559.55,559.55,546.8,551.4,2340
5m,2026-05-06 12:20:00+05:30,551.4,551.4,515.35,525.0,7670
5m,2026-05-06 12:25:00+05:30,525.0,536.7,519.25,535.45,8970
5m,2026-05-06 12:30:00+05:30,535.45,537.15,527.35,535.0,15275
5m,2026-05-06 12:35:00+05:30,535.0,535.0,523.45,523.85,5070
5m,2026-05-06 12:40:00+05:30,523.85,526.15,502.0,504.1,14105
5m,2026-05-06 12:45:00+05:30,504.1,508.15,496.75,503.0,9815
5m,2026-05-06 12:50:00+05:30,503.0,510.95,497.6,506.5,7540
5m,2026-05-06 12:55:00+05:30,506.5,514.2,503.3,514.0,9815
5m,2026-05-06 13:00:00+05:30,514.0,514.0,494.85,496.7,4160
5m,2026-05-06 13:05:00+05:30,496.7,530.0,495.0,527.05,5980
5m,2026-05-06 13:10:00+05:30,527.05,535.0,524.0,532.8,3380
5m,2026-05-06 13:15:00+05:30,532.8,565.0,527.95,558.0,21190
5m,2026-05-06 13:20:00+05:30,558.0,573.0,558.0,568.55,9555
5m,2026-05-06 13:25:00+05:30,568.55,579.95,567.6,576.0,15730
5m,2026-05-06 13:30:00+05:30,576.0,590.25,568.45,583.8,11180
5m,2026-05-06 13:35:00+05:30,583.8,609.7,581.05,601.05,8190
5m,2026-05-06 13:40:00+05:30,601.05,605.15,590.9,597.45,6500
5m,2026-05-06 13:45:00+05:30,595.6,602.55,592.2,593.0,7930
5m,2026-05-06 13:50:00+05:30,593.0,605.35,593.0,605.0,5980
5m,2026-05-06 13:55:00+05:30,605.0,613.4,598.9,602.7,4550
5m,2026-05-06 14:00:00+05:30,602.7,612.0,595.0,609.9,6825
5m,2026-05-06 14:05:00+05:30,609.9,611.35,597.5,603.0,5005
5m,2026-05-06 14:10:00+05:30,603.0,633.15,603.0,633.0,5460
5m,2026-05-06 14:15:00+05:30,633.0,646.55,633.0,636.9,7605
5m,2026-05-06 14:20:00+05:30,636.9,777.0,636.9,777.0,22880
5m,2026-05-06 14:25:00+05:30,777.0,847.4,777.0,826.4,4225
5m,2026-05-06 14:30:00+05:30,826.4,850.35,784.6,809.7,7020
5m,2026-05-06 14:35:00+05:30,809.7,809.7,790.45,804.55,4290
5m,2026-05-06 14:40:00+05:30,804.55,834.15,804.55,834.15,2275
5m,2026-05-06 14:45:00+05:30,834.15,855.65,822.45,848.0,4225
5m,2026-05-06 14:50:00+05:30,848.0,856.0,837.7,837.7,1365
5m,2026-05-06 14:55:00+05:30,837.7,853.7,831.2,849.75,4420
5m,2026-05-06 15:00:00+05:30,849.75,858.15,824.75,846.05,1560
5m,2026-05-06 15:05:00+05:30,846.05,850.0,824.75,826.45,2275
5m,2026-05-06 15:10:00+05:30,826.45,832.75,823.85,823.85,845
5m,2026-05-06 15:15:00+05:30,823.85,835.05,823.85,833.95,3120
5m,2026-05-06 15:20:00+05:30,833.95,833.95,816.8,828.1,1365
5m,2026-05-06 15:25:00+05:30,828.1,847.4,828.1,843.65,1885
5m,2026-05-07 09:15:00+05:30,846.35,848.15,758.05,758.05,5590
5m,2026-05-07 09:20:00+05:30,758.05,772.7,738.0,760.3,1365
5m,2026-05-07 09:25:00+05:30,760.3,780.0,744.0,762.7,715
5m,2026-05-07 09:30:00+05:30,762.7,790.8,760.0,790.8,520
5m,2026-05-07 09:35:00+05:30,790.8,803.6,783.35,783.35,585
5m,2026-05-07 09:40:00+05:30,783.35,835.5,783.35,834.65,1365
5m,2026-05-07 09:45:00+05:30,834.65,834.65,784.0,784.0,910
5m,2026-05-07 09:50:00+05:30,784.0,787.15,759.45,760.8,2340
5m,2026-05-07 09:55:00+05:30,760.8,777.0,760.8,777.0,1365
5m,2026-05-07 10:00:00+05:30,777.0,806.1,770.1,799.65,1365
5m,2026-05-07 10:05:00+05:30,799.65,799.65,750.0,757.0,1105
5m,2026-05-07 10:10:00+05:30,757.0,763.0,741.05,754.05,1300
5m,2026-05-07 10:15:00+05:30,754.05,754.05,754.05,754.05,0
5m,2026-05-07 10:20:00+05:30,754.05,779.35,754.05,779.35,455
5m,2026-05-07 10:25:00+05:30,779.35,794.0,779.35,784.3,1690
5m,2026-05-07 10:30:00+05:30,784.3,807.65,784.3,807.65,975
5m,2026-05-07 10:35:00+05:30,807.65,807.65,783.35,792.5,520
5m,2026-05-07 10:40:00+05:30,792.5,797.3,792.5,797.3,260
5m,2026-05-07 10:45:00+05:30,797.3,807.3,797.3,807.3,325
5m,2026-05-07 10:50:00+05:30,807.3,807.3,765.5,773.7,1430
5m,2026-05-07 10:55:00+05:30,773.7,780.1,767.2,767.2,715
5m,2026-05-07 11:00:00+05:30,767.2,767.85,761.2,761.2,195
5m,2026-05-07 11:05:00+05:30,761.2,761.2,750.0,751.0,195
5m,2026-05-07 11:10:00+05:30,751.0,751.0,741.3,744.4,390
5m,2026-05-07 11:15:00+05:30,744.4,755.3,744.4,748.65,715
5m,2026-05-07 11:20:00+05:30,748.65,748.65,717.7,732.55,1495
5m,2026-05-07 11:25:00+05:30,732.55,732.55,724.45,724.45,130
5m,2026-05-07 11:30:00+05:30,724.45,761.0,724.45,749.0,455
5m,2026-05-07 11:35:00+05:30,749.0,752.1,735.25,735.25,1820
5m,2026-05-07 11:40:00+05:30,735.25,742.8,716.2,716.2,780
5m,2026-05-07 11:45:00+05:30,716.2,730.4,712.6,730.4,1560
5m,2026-05-07 11:50:00+05:30,730.4,754.65,730.4,754.65,1105
5m,2026-05-07 11:55:00+05:30,754.65,769.35,747.05,767.85,390
5m,2026-05-07 12:00:00+05:30,767.85,788.6,759.4,782.0,1625
5m,2026-05-07 12:05:00+05:30,782.0,782.0,782.0,782.0,0
5m,2026-05-07 12:10:00+05:30,782.0,788.45,782.0,788.2,195
5m,2026-05-07 12:15:00+05:30,788.2,801.6,788.2,801.6,520
5m,2026-05-07 12:20:00+05:30,801.6,808.0,801.2,803.95,650
5m,2026-05-07 12:25:00+05:30,803.95,806.5,781.2,783.7,18265
5m,2026-05-07 12:30:00+05:30,783.7,786.0,760.2,773.5,18720
5m,2026-05-07 12:35:00+05:30,773.5,879.9,773.5,879.9,3900
5m,2026-05-07 12:40:00+05:30,879.9,910.0,879.9,897.15,37440
5m,2026-05-07 12:45:00+05:30,897.15,902.9,872.5,881.45,585
5m,2026-05-07 12:50:00+05:30,881.45,881.45,822.15,822.15,2015
5m,2026-05-07 12:55:00+05:30,822.15,822.15,808.8,820.1,585
5m,2026-05-07 13:00:00+05:30,820.1,844.75,813.35,829.25,22750
5m,2026-05-07 13:05:00+05:30,829.25,846.5,829.25,830.1,455
5m,2026-05-07 13:10:00+05:30,830.1,830.1,810.0,818.0,21515
5m,2026-05-07 13:15:00+05:30,818.0,820.75,750.0,770.1,1690
5m,2026-05-07 13:20:00+05:30,770.1,782.65,770.1,782.65,65
5m,2026-05-07 13:25:00+05:30,782.65,782.65,782.65,782.65,0
5m,2026-05-07 13:30:00+05:30,782.65,782.65,779.3,779.3,65
5m,2026-05-07 13:35:00+05:30,779.3,779.3,761.0,761.0,65
5m,2026-05-07 13:40:00+05:30,761.0,780.0,761.0,780.0,260
5m,2026-05-07 13:45:00+05:30,780.0,780.0,774.2,774.2,390
5m,2026-05-07 13:50:00+05:30,774.2,775.7,774.2,775.0,455
5m,2026-05-07 13:55:00+05:30,775.0,796.0,775.0,775.0,260
5m,2026-05-07 14:00:00+05:30,775.0,775.0,775.0,775.0,0
5m,2026-05-07 14:05:00+05:30,775.0,785.0,768.4,784.15,390
5m,2026-05-07 14:10:00+05:30,784.15,791.0,784.15,791.0,455
5m,2026-05-07 14:15:00+05:30,791.0,791.0,767.45,770.6,1170
5m,2026-05-07 14:20:00+05:30,770.6,770.6,770.6,770.6,0
5m,2026-05-07 14:25:00+05:30,770.6,806.4,770.6,806.4,195
5m,2026-05-07 14:30:00+05:30,806.4,806.4,788.2,796.9,1040
5m,2026-05-07 14:35:00+05:30,796.9,796.9,789.3,789.3,260
5m,2026-05-07 14:40:00+05:30,789.3,789.3,765.35,765.35,130
5m,2026-05-07 14:45:00+05:30,765.35,774.45,755.05,758.5,585
5m,2026-05-07 14:50:00+05:30,758.5,777.05,758.5,772.4,1885
5m,2026-05-07 14:55:00+05:30,772.4,775.85,768.1,768.1,130
5m,2026-05-07 15:00:00+05:30,779.3,789.4,764.35,766.7,4680
5m,2026-05-07 15:05:00+05:30,766.7,766.7,750.55,750.55,1560
5m,2026-05-07 15:10:00+05:30,750.55,756.4,729.0,756.4,3055
5m,2026-05-07 15:15:00+05:30,756.4,795.0,754.0,795.0,1690
5m,2026-05-07 15:20:00+05:30,795.0,798.2,780.0,780.0,650
5m,2026-05-07 15:25:00+05:30,780.0,790.5,780.0,789.95,4550
5m,2026-05-08 09:15:00+05:30,602.0,656.25,591.6,636.25,17095
5m,2026-05-08 09:20:00+05:30,636.25,674.9,630.0,641.0,5395
5m,2026-05-08 09:25:00+05:30,641.0,668.9,639.6,661.0,845
5m,2026-05-08 09:30:00+05:30,661.0,661.0,620.0,639.2,2405
5m,2026-05-08 09:35:00+05:30,639.2,639.2,620.25,620.25,6045
5m,2026-05-08 09:40:00+05:30,620.25,625.05,599.35,599.35,5655
5m,2026-05-08 09:45:00+05:30,599.35,608.2,585.45,607.8,6045
5m,2026-05-08 09:50:00+05:30,607.8,618.95,600.0,618.95,5395
5m,2026-05-08 09:55:00+05:30,618.95,635.05,615.0,632.6,9555
5m,2026-05-08 10:00:00+05:30,632.6,636.8,626.05,626.05,2080
5m,2026-05-08 10:05:00+05:30,626.05,630.0,621.05,621.05,3835
5m,2026-05-08 10:10:00+05:30,621.05,649.4,602.75,648.0,3770
5m,2026-05-08 10:15:00+05:30,648.0,648.0,610.05,639.5,2600
5m,2026-05-08 10:20:00+05:30,639.5,668.2,639.5,668.2,7995
