date,open,high,low,close,volume
2026-05-11 09:15:00+05:30,23970.1,23986.8,23897.2,23918.75,0
2026-05-11 09:20:00+05:30,23919.05,23942.6,23895.55,23937.45,0
2026-05-11 09:25:00+05:30,23936.8,23956.3,23918.7,23953.25,0
2026-05-11 09:30:00+05:30,23952.2,23959.55,23917.05,23930.7,0
2026-05-11 09:35:00+05:30,23930.6,23931.3,23874.7,23881.8,0
2026-05-11 09:40:00+05:30,23881.35,23898.15,23864.1,23865.65,0
2026-05-11 09:45:00+05:30,23866.15,23889.85,23864.2,23885.0,0
2026-05-11 09:50:00+05:30,23885.35,23893.5,23870.5,23892.75,0
2026-05-11 09:55:00+05:30,23893.7,23899.95,23868.2,23874.25,0
2026-05-11 10:00:00+05:30,23874.6,23897.4,23873.25,23893.15,0
2026-05-11 10:05:00+05:30,23892.9,23903.7,23887.1,23899.15,0
2026-05-11 10:10:00+05:30,23899.6,23902.8,23887.3,23893.4,0
2026-05-11 10:15:00+05:30,23894.75,23896.25,23850.25,23850.25,0
2026-05-11 10:20:00+05:30,23850.85,23877.5,23845.3,23871.7,0
2026-05-11 10:25:00+05:30,23871.2,23878.3,23864.3,23869.2,0
2026-05-11 10:30:00+05:30,23868.45,23874.5,23860.15,23870.05,0
2026-05-11 10:35:00+05:30,23870.3,23874.8,23847.45,23863.15,0
2026-05-11 10:40:00+05:30,23862.65,23865.15,23851.6,23860.1,0
2026-05-11 10:45:00+05:30,23859.95,23863.35,23850.85,23860.4,0
2026-05-11 10:50:00+05:30,23860.15,23890.65,23859.2,23889.85,0
2026-05-11 10:55:00+05:30,23890.1,23892.5,23882.1,23886.95,0
2026-05-11 11:00:00+05:30,23887.0,23897.35,23878.55,23896.2,0
2026-05-11 11:05:00+05:30,23895.8,23907.3,23893.35,23903.25,0
2026-05-11 11:10:00+05:30,23902.9,23922.55,23902.9,23914.6,0
2026-05-11 11:15:00+05:30,23914.6,23921.7,23910.4,23918.3,0
2026-05-11 11:20:00+05:30,23918.65,23942.95,23918.2,23926.2,0
2026-05-11 11:25:00+05:30,23926.2,23934.95,23913.25,23927.8,0
2026-05-11 11:30:00+05:30,23928.2,23930.85,23907.25,23924.6,0
2026-05-11 11:35:00+05:30,23925.1,23936.1,23916.95,23936.1,0
2026-05-11 11:40:00+05:30,23936.05,23952.7,23932.9,23949.4,0
2026-05-11 11:45:00+05:30,23949.55,23956.9,23920.35,23921.25,0
2026-05-11 11:50:00+05:30,23922.1,23941.0,23921.4,23937.75,0
2026-05-11 11:55:00+05:30,23937.7,23939.0,23923.65,23930.9,0
2026-05-11 12:00:00+05:30,23931.25,23937.8,23922.5,23923.7,0
2026-05-11 12:05:00+05:30,23923.7,23943.95,23920.3,23939.3,0
2026-05-11 12:10:00+05:30,23939.45,23942.4,23930.4,23935.55,0
2026-05-11 12:15:00+05:30,23935.2,23942.55,23926.65,23938.0,0
2026-05-11 12:20:00+05:30,23938.2,23943.95,23928.85,23942.5,0
2026-05-11 12:25:00+05:30,23942.2,23945.05,23928.05,23929.05,0
2026-05-11 12:30:00+05:30,23928.9,23930.2,23908.45,23924.3,0
2026-05-11 12:35:00+05:30,23924.7,23933.9,23902.45,23913.1,0
2026-05-11 12:40:00+05:30,23913.8,23954.95,23913.7,23950.35,0
2026-05-11 12:45:00+05:30,23949.7,23954.65,23936.55,23940.9,0
2026-05-11 12:50:00+05:30,23940.95,23951.9,23932.0,23938.3,0
2026-05-11 12:55:00+05:30,23938.25,23951.75,23937.4,23945.55,0
2026-05-11 13:00:00+05:30,23945.4,23946.2,23918.3,23918.7,0
2026-05-11 13:05:00+05:30,23918.55,23939.2,23905.05,23939.15,0
2026-05-11 13:10:00+05:30,23939.2,23949.8,23932.5,23949.8,0
2026-05-11 13:15:00+05:30,23949.9,23950.9,23934.5,23934.95,0
2026-05-11 13:20:00+05:30,23935.35,23950.7,23935.35,23949.5,0
2026-05-11 13:25:00+05:30,23950.65,23953.3,23940.4,23946.35,0
2026-05-11 13:30:00+05:30,23946.1,23955.15,23943.35,23950.7,0
2026-05-11 13:35:00+05:30,23950.6,23988.25,23949.8,23952.1,0
2026-05-11 13:40:00+05:30,23952.05,23973.75,23946.35,23965.45,0
2026-05-11 13:45:00+05:30,23966.55,23987.55,23965.7,23979.8,0
2026-05-11 13:50:00+05:30,23978.85,23997.45,23975.75,23993.95,0
2026-05-11 13:55:00+05:30,23994.3,23997.0,23966.25,23966.45,0
2026-05-11 14:00:00+05:30,23966.45,23973.25,23957.95,23963.55,0
2026-05-11 14:05:00+05:30,23963.35,23973.5,23958.05,23958.95,0
2026-05-11 14:10:00+05:30,23958.95,23967.15,23943.1,23946.3,0
2026-05-11 14:15:00+05:30,23945.25,23954.1,23933.95,23939.75,0
2026-05-11 14:20:00+05:30,23939.55,23949.5,23939.15,23941.7,0
2026-05-11 14:25:00+05:30,23941.6,23942.9,23922.15,23931.9,0
2026-05-11 14:30:00+05:30,23931.95,23953.55,23926.15,23953.0,0
2026-05-11 14:35:00+05:30,23952.9,23957.85,23921.75,23926.1,0
2026-05-11 14:40:00+05:30,23925.95,23931.3,23904.2,23916.35,0
2026-05-11 14:45:00+05:30,23916.6,23924.35,23883.1,23889.9,0
2026-05-11 14:50:00+05:30,23889.95,23914.15,23888.25,23894.15,0
2026-05-11 14:55:00+05:30,23894.05,23896.85,23875.9,23875.9,0
2026-05-11 15:00:00+05:30,23878.55,23879.7,23820.9,23830.7,0
2026-05-11 15:05:00+05:30,23830.45,23832.7,23809.75,23817.45,0
2026-05-11 15:10:00+05:30,23817.7,23824.05,23801.4,23805.75,0
2026-05-11 15:15:00+05:30,23806.2,23820.25,23802.85,23803.8,0
2026-05-11 15:20:00+05:30,23803.8,23813.25,23799.1,23810.15,0
2026-05-11 15:25:00+05:30,23810.15,23820.35,23802.4,23820.35,0
2026-05-12 09:15:00+05:30,23722.6,23757.55,23689.1,23736.35,0
2026-05-12 09:20:00+05:30,23737.8,23737.8,23684.0,23684.2,0
2026-05-12 09:25:00+05:30,23685.45,23685.45,23633.1,23638.3,0
2026-05-12 09:30:00+05:30,23638.95,23643.75,23617.7,23634.05,0
2026-05-12 09:35:00+05:30,23634.65,23649.15,23620.5,23626.15,0
2026-05-12 09:40:00+05:30,23626.35,23657.85,23624.45,23640.65,0
2026-05-12 09:45:00+05:30,23640.75,23650.15,23628.85,23638.2,0
2026-05-12 09:50:00+05:30,23638.4,23646.7,23632.1,23638.25,0
2026-05-12 09:55:00+05:30,23638.55,23652.2,23624.55,23625.85,0
2026-05-12 10:00:00+05:30,23627.0,23635.25,23619.8,23630.2,0
2026-05-12 10:05:00+05:30,23630.45,23642.55,23613.55,23636.1,0
2026-05-12 10:10:00+05:30,23636.4,23655.4,23629.15,23651.4,0
2026-05-12 10:15:00+05:30,23652.05,23668.25,23647.75,23668.25,0
2026-05-12 10:20:00+05:30,23669.25,23675.2,23627.85,23630.3,0
2026-05-12 10:25:00+05:30,23631.8,23634.15,23605.05,23613.25,0
2026-05-12 10:30:00+05:30,23613.55,23617.05,23603.7,23607.65,0
2026-05-12 10:35:00+05:30,23609.2,23620.2,23596.35,23605.3,0
2026-05-12 10:40:00+05:30,23606.6,23638.65,23602.55,23627.55,0
2026-05-12 10:45:00+05:30,23628.05,23629.6,23599.3,23603.25,0
2026-05-12 10:50:00+05:30,23603.75,23611.15,23600.8,23605.25,0
2026-05-12 10:55:00+05:30,23605.85,23623.45,23602.65,23614.7,0
2026-05-12 11:00:00+05:30,23615.1,23615.65,23584.35,23590.6,0
2026-05-12 11:05:00+05:30,23590.6,23597.7,23577.85,23590.4,0
2026-05-12 11:10:00+05:30,23590.95,23595.1,23585.65,23589.35,0
2026-05-12 11:15:00+05:30,23589.6,23612.25,23585.85,23608.05,0
2026-05-12 11:20:00+05:30,23608.55,23613.4,23589.4,23589.6,0
2026-05-12 11:25:00+05:30,23590.95,23604.55,23588.7,23588.9,0
2026-05-12 11:30:00+05:30,23589.5,23600.2,23578.65,23597.25,0
2026-05-12 11:35:00+05:30,23597.4,23601.85,23579.9,23598.0,0
2026-05-12 11:40:00+05:30,23599.15,23607.65,23591.95,23602.7,0
2026-05-12 11:45:00+05:30,23603.95,23604.55,23584.35,23594.7,0
2026-05-12 11:50:00+05:30,23596.15,23605.8,23584.75,23600.05,0
2026-05-12 11:55:00+05:30,23601.8,23612.85,23595.85,23597.5,0
2026-05-12 12:00:00+05:30,23598.45,23599.55,23581.9,23586.3,0
2026-05-12 12:05:00+05:30,23587.25,23589.25,23556.15,23558.1,0
2026-05-12 12:10:00+05:30,23559.95,23570.0,23551.3,23557.8,0
2026-05-12 12:15:00+05:30,23559.5,23580.05,23555.1,23572.9,0
2026-05-12 12:20:00+05:30,23573.75,23575.9,23559.0,23566.5,0
2026-05-12 12:25:00+05:30,23567.6,23568.75,23554.7,23557.3,0
2026-05-12 12:30:00+05:30,23557.8,23558.95,23521.8,23522.3,0
2026-05-12 12:35:00+05:30,23523.4,23526.8,23508.35,23516.2,0
2026-05-12 12:40:00+05:30,23517.35,23532.7,23513.1,23526.15,0
2026-05-12 12:45:00+05:30,23527.25,23540.1,23516.4,23526.85,0
2026-05-12 12:50:00+05:30,23527.3,23535.0,23513.3,23513.35,0
2026-05-12 12:55:00+05:30,23515.2,23532.85,23514.75,23524.55,0
2026-05-12 13:00:00+05:30,23525.15,23533.65,23519.55,23530.6,0
2026-05-12 13:05:00+05:30,23531.7,23532.2,23510.85,23510.85,0
2026-05-12 13:10:00+05:30,23511.95,23536.8,23506.0,23536.8,0
2026-05-12 13:15:00+05:30,23538.05,23564.05,23536.25,23542.8,0
2026-05-12 13:20:00+05:30,23544.0,23545.2,23526.45,23527.55,0
2026-05-12 13:25:00+05:30,23528.35,23539.5,23524.25,23531.05,0
2026-05-12 13:30:00+05:30,23532.45,23550.2,23528.75,23529.45,0
2026-05-12 13:35:00+05:30,23530.45,23535.3,23511.0,23514.0,0
2026-05-12 13:40:00+05:30,23515.5,23518.4,23496.55,23506.8,0
