tf,date,open,high,low,close,volume
5m,2026-05-11 09:15:00+05:30,119.8,146.6,119.8,144.0,43095
5m,2026-05-11 09:20:00+05:30,144.0,154.85,139.85,142.0,20150
5m,2026-05-11 09:25:00+05:30,142.0,147.3,136.45,136.45,14430
5m,2026-05-11 09:30:00+05:30,136.45,150.1,136.45,147.15,9490
5m,2026-05-11 09:35:00+05:30,147.15,164.75,147.15,162.6,21450
5m,2026-05-11 09:40:00+05:30,162.6,167.35,155.0,166.55,14430
5m,2026-05-11 09:45:00+05:30,166.55,167.7,158.6,162.0,25285
5m,2026-05-11 09:50:00+05:30,162.0,167.25,158.8,159.6,12740
5m,2026-05-11 09:55:00+05:30,159.6,166.3,157.35,166.2,7800
5m,2026-05-11 10:00:00+05:30,166.2,166.2,155.45,155.7,5590
5m,2026-05-11 10:05:00+05:30,155.7,158.7,154.3,155.2,9880
5m,2026-05-11 10:10:00+05:30,155.2,161.35,155.2,158.4,10335
5m,2026-05-11 10:15:00+05:30,158.4,172.6,158.35,170.75,17355
5m,2026-05-11 10:20:00+05:30,170.75,174.1,160.95,162.45,18265
5m,2026-05-11 10:25:00+05:30,162.45,164.75,161.0,162.6,4810
5m,2026-05-11 10:30:00+05:30,162.6,165.8,160.25,161.8,5525
5m,2026-05-11 10:35:00+05:30,161.8,169.6,159.4,164.9,8320
5m,2026-05-11 10:40:00+05:30,164.9,168.55,163.9,166.7,4875
5m,2026-05-11 10:45:00+05:30,166.7,169.3,163.2,164.7,2990
5m,2026-05-11 10:50:00+05:30,164.7,165.8,155.15,155.15,6565
5m,2026-05-11 10:55:00+05:30,155.15,158.15,151.9,155.4,7670
5m,2026-05-11 11:00:00+05:30,155.4,158.0,153.5,153.5,7280
5m,2026-05-11 11:05:00+05:30,153.5,153.5,146.35,150.0,9555
5m,2026-05-11 11:10:00+05:30,150.0,150.0,139.5,142.8,7020
5m,2026-05-11 11:15:00+05:30,142.8,144.65,141.5,141.5,5850
5m,2026-05-11 11:20:00+05:30,141.5,141.5,131.2,137.4,14885
5m,2026-05-11 11:25:00+05:30,137.4,141.35,132.85,135.0,13000
5m,2026-05-11 11:30:00+05:30,135.0,140.2,134.35,140.0,9360
5m,2026-05-11 11:35:00+05:30,140.0,140.0,133.0,133.45,4875
5m,2026-05-11 11:40:00+05:30,133.45,134.05,126.7,127.4,10790
5m,2026-05-11 11:45:00+05:30,127.4,137.8,126.3,137.1,14365
5m,2026-05-11 11:50:00+05:30,137.1,138.4,131.05,131.25,2795
5m,2026-05-11 11:55:00+05:30,131.25,136.9,131.25,134.4,1495
5m,2026-05-11 12:00:00+05:30,134.4,136.65,131.75,136.65,1820
5m,2026-05-11 12:05:00+05:30,136.65,136.65,129.55,131.65,3250
5m,2026-05-11 12:10:00+05:30,131.65,133.2,130.1,132.2,1560
5m,2026-05-11 12:15:00+05:30,132.2,136.0,129.95,130.5,4290
5m,2026-05-11 12:20:00+05:30,130.5,133.65,127.95,128.0,10010
5m,2026-05-11 12:25:00+05:30,128.0,133.55,127.75,133.55,5200
5m,2026-05-11 12:30:00+05:30,133.55,140.6,133.55,135.5,14950
5m,2026-05-11 12:35:00+05:30,135.5,143.9,130.7,138.45,22880
5m,2026-05-11 12:40:00+05:30,138.45,139.55,121.9,124.35,14170
5m,2026-05-11 12:45:00+05:30,124.35,131.45,123.55,128.45,5395
5m,2026-05-11 12:50:00+05:30,128.45,132.0,126.15,130.4,3185
5m,2026-05-11 12:55:00+05:30,130.4,130.9,127.45,130.0,1690
5m,2026-05-11 13:00:00+05:30,130.0,137.65,130.0,137.65,3835
5m,2026-05-11 13:05:00+05:30,137.65,144.9,130.9,130.9,10660
5m,2026-05-11 13:10:00+05:30,130.9,131.1,126.65,126.65,6240
5m,2026-05-11 13:15:00+05:30,126.65,130.4,126.65,130.4,6695
5m,2026-05-11 13:20:00+05:30,130.4,130.4,126.0,127.8,2340
5m,2026-05-11 13:25:00+05:30,127.8,129.55,126.6,126.6,2860
5m,2026-05-11 13:30:00+05:30,126.6,128.1,125.55,126.95,2405
5m,2026-05-11 13:35:00+05:30,126.95,128.2,111.8,127.55,24505
5m,2026-05-11 13:40:00+05:30,127.55,129.2,118.55,119.7,7540
5m,2026-05-11 13:45:00+05:30,119.7,119.7,112.3,115.2,10010
5m,2026-05-11 13:50:00+05:30,115.2,118.3,109.25,111.35,8515
5m,2026-05-11 13:55:00+05:30,111.35,120.65,110.45,120.5,12285
5m,2026-05-11 14:00:00+05:30,120.5,123.25,118.0,120.7,2990
5m,2026-05-11 14:05:00+05:30,120.7,123.5,119.4,122.85,2665
5m,2026-05-11 14:10:00+05:30,122.85,126.85,120.75,125.25,5395
5m,2026-05-11 14:15:00+05:30,125.25,131.15,124.65,130.05,10400
5m,2026-05-11 14:20:00+05:30,130.05,130.05,126.4,128.3,4420
5m,2026-05-11 14:25:00+05:30,128.3,134.8,128.0,132.25,14820
5m,2026-05-11 14:30:00+05:30,132.25,134.95,127.2,127.35,4160
5m,2026-05-11 14:35:00+05:30,127.35,133.55,125.1,132.8,17615
5m,2026-05-11 14:40:00+05:30,132.8,138.8,132.55,135.35,7475
5m,2026-05-11 14:45:00+05:30,135.35,147.4,133.7,143.55,24245
5m,2026-05-11 14:50:00+05:30,143.55,144.0,135.8,140.5,9685
5m,2026-05-11 14:55:00+05:30,140.5,147.7,139.8,146.7,8710
5m,2026-05-11 15:00:00+05:30,145.85,165.35,145.85,158.1,46800
5m,2026-05-11 15:05:00+05:30,158.7,168.45,157.05,161.45,23790
5m,2026-05-11 15:10:00+05:30,161.9,167.7,159.35,164.0,21450
5m,2026-05-11 15:15:00+05:30,164.5,164.5,156.0,162.5,17225
5m,2026-05-11 15:20:00+05:30,162.25,164.5,160.8,163.25,19240
5m,2026-05-11 15:25:00+05:30,163.25,163.4,160.0,161.25,26520
5m,2026-05-12 09:15:00+05:30,162.65,216.3,162.6,192.8,188240
5m,2026-05-12 09:20:00+05:30,193.1,216.0,193.1,215.7,113620
5m,2026-05-12 09:25:00+05:30,215.7,235.0,215.7,232.8,250445
5m,2026-05-12 09:30:00+05:30,232.8,243.4,227.85,234.6,261820
5m,2026-05-12 09:35:00+05:30,234.6,239.0,224.0,237.0,162305
5m,2026-05-12 09:40:00+05:30,237.0,237.85,220.7,230.75,193895
5m,2026-05-12 09:45:00+05:30,231.25,235.0,224.75,229.55,178620
5m,2026-05-12 09:50:00+05:30,229.55,233.0,225.0,230.5,130520
5m,2026-05-12 09:55:00+05:30,230.5,238.3,225.2,236.7,160810
5m,2026-05-12 10:00:00+05:30,236.7,240.25,228.5,231.9,166010
5m,2026-05-12 10:05:00+05:30,231.9,242.0,226.35,230.15,157820
5m,2026-05-12 10:10:00+05:30,230.15,234.5,220.35,223.15,138450
5m,2026-05-12 10:15:00+05:30,223.15,224.8,209.8,213.55,139945
5m,2026-05-12 10:20:00+05:30,212.5,233.95,209.65,231.5,230685
5m,2026-05-12 10:25:00+05:30,231.5,245.0,230.0,236.45,263185
5m,2026-05-12 10:30:00+05:30,236.75,243.85,235.45,241.35,111800
5m,2026-05-12 10:35:00+05:30,241.35,248.0,233.2,241.55,131300
5m,2026-05-12 10:40:00+05:30,241.55,242.15,221.15,228.0,110045
5m,2026-05-12 10:45:00+05:30,228.0,242.4,227.4,241.0,127920
5m,2026-05-12 10:50:00+05:30,241.0,242.1,237.0,239.1,44200
5m,2026-05-12 10:55:00+05:30,239.1,241.3,228.85,234.4,46345
5m,2026-05-12 11:00:00+05:30,234.4,249.9,233.75,246.55,109330
5m,2026-05-12 11:05:00+05:30,246.55,254.4,242.5,246.3,122980
5m,2026-05-12 11:10:00+05:30,246.3,248.95,243.75,247.0,24375
5m,2026-05-12 11:15:00+05:30,247.0,248.65,234.0,236.1,37765
5m,2026-05-12 11:20:00+05:30,236.1,246.45,235.35,245.85,51285
5m,2026-05-12 11:25:00+05:30,245.85,249.2,239.5,249.2,31980
5m,2026-05-12 11:30:00+05:30,249.2,253.9,241.0,242.55,64610
5m,2026-05-12 11:35:00+05:30,242.55,252.5,242.0,244.4,37375
5m,2026-05-12 11:40:00+05:30,243.6,245.9,236.3,238.35,32110
5m,2026-05-12 11:45:00+05:30,238.35,248.25,238.1,245.05,28340
5m,2026-05-12 11:50:00+05:30,245.05,248.95,236.4,241.95,32045
5m,2026-05-12 11:55:00+05:30,241.95,244.7,235.0,244.5,28860
5m,2026-05-12 12:00:00+05:30,244.45,252.25,242.9,251.6,47515
5m,2026-05-12 12:05:00+05:30,251.6,272.2,248.95,270.1,189215
5m,2026-05-12 12:10:00+05:30,270.1,272.6,260.9,268.8,60710
5m,2026-05-12 12:15:00+05:30,268.8,271.7,258.3,263.7,60775
5m,2026-05-12 12:20:00+05:30,263.7,270.0,262.95,264.75,35230
5m,2026-05-12 12:25:00+05:30,264.75,271.7,264.75,270.75,21320
5m,2026-05-12 12:30:00+05:30,270.75,299.0,270.75,294.75,170755
5m,2026-05-12 12:35:00+05:30,294.75,305.6,288.8,296.45,94250
5m,2026-05-12 12:40:00+05:30,296.45,298.7,284.35,290.35,22945
5m,2026-05-12 12:45:00+05:30,290.35,296.4,280.8,290.0,24115
5m,2026-05-12 12:50:00+05:30,290.0,295.75,282.9,294.35,17160
5m,2026-05-12 12:55:00+05:30,294.35,295.0,285.05,291.3,14300
5m,2026-05-12 13:00:00+05:30,291.3,291.45,281.8,283.65,12870
5m,2026-05-12 13:05:00+05:30,283.65,298.95,283.55,295.9,14040
5m,2026-05-12 13:10:00+05:30,295.9,300.0,282.15,283.8,37570
5m,2026-05-12 13:15:00+05:30,281.7,281.7,263.0,272.65,76050
5m,2026-05-12 13:20:00+05:30,272.65,283.85,272.65,283.2,24765
