tf,date,open,high,low,close,volume,vwap
5m,2026-06-08 09:15:00+05:30,399.0,426.0,368.45,394.8,115570,396.4166666666667
5m,2026-06-08 09:20:00+05:30,394.8,411.2,386.55,391.45,16055,396.414633744856
5m,2026-06-08 09:25:00+05:30,391.45,398.4,380.45,380.5,3705,396.1418267691323
5m,2026-06-08 09:30:00+05:30,380.5,383.3,361.35,362.3,3835,395.3934142923868
5m,2026-06-08 09:35:00+05:30,362.3,388.0,362.3,381.4,5200,394.7392916103858
5m,2026-06-08 09:40:00+05:30,381.4,384.45,369.0,375.4,2275,394.4529624704493
5m,2026-06-08 09:45:00+05:30,375.4,386.0,361.0,386.0,7995,393.5850707580217
5m,2026-06-08 09:50:00+05:30,386.0,393.85,368.8,368.8,3770,393.19392012036667
5m,2026-06-08 09:55:00+05:30,368.8,368.8,350.4,353.2,3380,392.4475090397751
5m,2026-06-08 10:00:00+05:30,353.2,370.8,353.0,370.6,975,392.2818889776359
5m,2026-06-08 10:05:00+05:30,370.6,378.25,356.0,358.3,1495,392.0261443081389
5m,2026-06-08 10:10:00+05:30,358.3,369.55,358.3,369.55,1105,391.85089098532507
5m,2026-06-08 10:15:00+05:30,369.55,372.55,362.1,362.1,1885,391.5548322321545
5m,2026-06-08 10:20:00+05:30,362.1,371.0,362.0,371.0,1105,391.40022522522537
5m,2026-06-08 10:25:00+05:30,371.0,375.15,366.3,367.05,1105,391.2574159314667
5m,2026-06-08 10:30:00+05:30,367.05,367.05,346.05,347.0,2990,390.60043347154175
5m,2026-06-08 10:35:00+05:30,347.0,351.45,347.0,350.85,1235,390.3100736027945
5m,2026-06-08 10:40:00+05:30,350.85,361.85,341.05,361.85,2925,389.72387437124286
5m,2026-06-08 10:45:00+05:30,361.85,366.0,351.45,351.45,1755,389.3949951409136
5m,2026-06-08 10:50:00+05:30,351.45,355.35,349.0,353.65,975,389.1953123112239
5m,2026-06-08 10:55:00+05:30,353.65,358.05,338.0,338.0,1820,388.7481162540367
5m,2026-06-08 11:00:00+05:30,340.55,349.55,340.55,348.0,1300,388.4437715235721
5m,2026-06-08 11:05:00+05:30,348.0,356.3,348.0,356.3,1300,388.1967928310341
5m,2026-06-08 11:10:00+05:30,356.3,358.0,354.0,356.9,910,388.03961046579843
5m,2026-06-08 11:15:00+05:30,356.9,366.5,355.75,364.2,5265,387.3219313255761
5m,2026-06-08 11:20:00+05:30,364.2,364.2,360.05,363.1,585,387.2455589673604
5m,2026-06-08 11:25:00+05:30,363.1,367.1,363.1,367.1,65,387.2382332878581
5m,2026-06-08 11:30:00+05:30,367.1,367.1,352.85,357.0,6500,386.30634344766935
5m,2026-06-08 11:35:00+05:30,357.0,357.0,347.5,349.05,2925,385.7926822662767
5m,2026-06-08 11:40:00+05:30,349.05,352.8,347.3,352.8,845,385.6461650485437
5m,2026-06-08 11:45:00+05:30,352.8,353.7,344.55,344.55,1690,385.3287066752246
5m,2026-06-08 11:50:00+05:30,344.55,350.7,344.55,350.7,455,385.2464937560038
5m,2026-06-08 11:55:00+05:30,350.7,350.7,345.05,345.05,715,385.11201871942137
5m,2026-06-08 12:00:00+05:30,345.05,351.6,345.05,347.25,325,385.05285122650525
5m,2026-06-08 12:05:00+05:30,347.25,354.45,345.9,351.8,585,384.95468551461244
5m,2026-06-08 12:10:00+05:30,351.8,351.8,330.25,338.3,845,384.77028366550667
5m,2026-06-08 12:15:00+05:30,338.3,339.6,335.55,339.6,910,384.565154855643
5m,2026-06-08 12:20:00+05:30,339.6,339.6,328.55,330.55,2275,384.0018276220145
5m,2026-06-08 12:25:00+05:30,330.55,334.0,330.55,333.2,195,383.95381782342565
5m,2026-06-08 12:30:00+05:30,334.4,338.35,330.1,330.1,910,383.73210928623075
5m,2026-06-08 12:35:00+05:30,330.1,331.75,328.0,328.0,455,383.61418264275403
5m,2026-06-08 12:40:00+05:30,328.0,328.0,310.5,317.65,5915,381.83804010025057
5m,2026-06-08 12:45:00+05:30,317.65,325.6,313.05,316.45,5915,380.14720433255263
5m,2026-06-08 12:50:00+05:30,316.45,317.9,298.1,314.55,9620,377.2418583988028
5m,2026-06-08 12:55:00+05:30,314.55,318.25,311.0,318.25,2080,376.69539766407115
5m,2026-06-08 13:00:00+05:30,318.25,325.25,313.15,323.9,2145,376.1868145494626
5m,2026-06-08 13:05:00+05:30,323.9,331.55,323.0,325.55,1755,375.82134846827125
5m,2026-06-08 13:10:00+05:30,325.55,330.85,325.55,330.85,455,375.732032032032
5m,2026-06-08 13:15:00+05:30,330.85,331.6,320.75,329.6,1300,375.4691193773192
5m,2026-06-08 13:20:00+05:30,329.6,336.1,327.8,334.9,650,375.35393988627135
5m,2026-06-08 13:25:00+05:30,334.9,340.15,332.8,332.8,1365,375.12718093699516
5m,2026-06-08 13:30:00+05:30,332.8,344.95,332.8,341.55,3835,374.57423358953974
5m,2026-06-08 13:35:00+05:30,341.55,350.25,341.55,350.25,1560,374.40215521025374
5m,2026-06-08 13:40:00+05:30,350.25,363.1,349.1,363.1,6175,374.01237153134633
5m,2026-06-08 13:45:00+05:30,363.1,377.45,356.05,356.05,6500,373.74110303941217
5m,2026-06-08 13:50:00+05:30,356.05,369.0,356.05,365.9,260,373.7310018351685
5m,2026-06-08 13:55:00+05:30,365.9,376.0,365.9,374.0,975,373.72440372309484
5m,2026-06-08 14:00:00+05:30,374.0,374.0,358.75,362.65,715,373.70090750870213
5m,2026-06-08 14:05:00+05:30,362.65,375.75,362.65,372.05,1105,373.6859618717504
5m,2026-06-08 14:10:00+05:30,372.05,381.75,371.6,379.4,2405,373.72134036637226
5m,2026-06-08 14:15:00+05:30,380.45,387.55,369.4,370.0,6045,373.7643639561846
5m,2026-06-08 14:20:00+05:30,370.0,381.25,370.0,381.25,650,373.77330302305177
5m,2026-06-08 14:25:00+05:30,381.25,381.65,376.95,381.65,2405,373.82868042378243
5m,2026-06-08 14:30:00+05:30,381.65,381.65,370.0,376.1,2990,373.85121617394026
5m,2026-06-08 14:35:00+05:30,376.1,380.9,373.0,377.0,15665,374.01795469686874
5m,2026-06-08 14:40:00+05:30,377.0,380.25,361.85,361.85,10010,373.81839882613986
5m,2026-06-08 14:45:00+05:30,361.85,365.35,354.0,361.15,4095,373.63618290960454
5m,2026-06-08 14:50:00+05:30,361.15,367.85,361.0,367.55,1040,373.60858319256755
5m,2026-06-08 14:55:00+05:30,367.55,369.85,345.05,361.1,455,373.58653102818187
5m,2026-06-08 15:00:00+05:30,361.1,402.05,361.1,399.9,4355,373.78288981288983
5m,2026-06-08 15:05:00+05:30,399.9,411.2,386.55,390.25,8190,374.3500202593193
5m,2026-06-08 15:10:00+05:30,390.25,395.45,387.45,390.8,3315,374.5226789653098
5m,2026-06-08 15:15:00+05:30,390.8,395.0,388.15,394.2,1170,374.5871528471528
5m,2026-06-08 15:20:00+05:30,394.2,407.4,390.55,405.5,3835,374.8966330963665
5m,2026-06-08 15:25:00+05:30,405.5,414.3,405.5,413.95,6630,375.6144115369725
5m,2026-06-09 09:15:00+05:30,345.2,345.2,322.45,322.85,23595,330.1666666666667
5m,2026-06-09 09:20:00+05:30,322.85,326.0,312.55,315.15,13065,325.7950354609929
5m,2026-06-09 09:25:00+05:30,315.15,316.4,308.55,316.4,11180,322.98795289855076
5m,2026-06-09 09:30:00+05:30,316.4,316.4,292.9,300.7,11375,319.2123673618734
5m,2026-06-09 09:35:00+05:30,300.7,317.5,299.9,314.55,8320,318.15752325954446
5m,2026-06-09 09:40:00+05:30,314.55,322.65,311.25,322.65,6565,318.2188742690059
5m,2026-06-09 09:45:00+05:30,322.65,333.55,306.85,327.65,8450,318.67586614173234
5m,2026-06-09 09:50:00+05:30,327.65,331.0,305.25,307.2,8775,318.27302491103205
5m,2026-06-09 09:55:00+05:30,307.2,328.0,307.2,325.8,18590,318.62148630001974
5m,2026-06-09 10:00:00+05:30,325.8,336.0,320.6,335.65,8970,319.5365955895754
5m,2026-06-09 10:05:00+05:30,335.65,340.05,330.0,336.05,7995,320.5340846994536
5m,2026-06-09 10:10:00+05:30,336.05,341.1,334.7,339.9,3510,321.01950814224
5m,2026-06-09 10:15:00+05:30,339.9,342.3,331.9,335.55,1495,321.19593395761467
5m,2026-06-09 10:20:00+05:30,335.55,353.85,335.55,346.45,4420,321.97702273088544
5m,2026-06-09 10:25:00+05:30,346.45,350.65,341.75,347.45,3315,322.56204220980766
5m,2026-06-09 10:30:00+05:30,347.45,355.0,346.8,348.0,1820,322.9142463235295
5m,2026-06-09 10:35:00+05:30,348.0,357.0,348.0,351.05,1235,323.16615793470015
5m,2026-06-09 10:40:00+05:30,351.05,358.0,342.95,343.85,2015,323.5157157831687
5m,2026-06-09 10:45:00+05:30,343.85,370.55,340.9,369.0,3705,324.4303693969923
5m,2026-06-09 10:50:00+05:30,370.55,371.6,353.85,353.85,6370,325.88478230435396
5m,2026-06-09 10:55:00+05:30,353.85,360.7,347.2,353.45,5460,326.83548343475326
5m,2026-06-09 11:00:00+05:30,353.45,355.0,353.45,354.85,585,326.93587981676103
5m,2026-06-09 11:05:00+05:30,354.85,354.85,348.95,354.15,520,327.0187617512759
5m,2026-06-09 11:10:00+05:30,354.15,362.15,354.15,361.65,715,327.1612715603691
