tf,date,open,high,low,close,volume,vwap
5m,2026-06-02 09:15:00+05:30,145.35,156.55,124.2,125.0,193700,135.25
5m,2026-06-02 09:20:00+05:30,125.0,132.8,122.9,125.8,67795,133.15432098765433
5m,2026-06-02 09:25:00+05:30,125.8,129.65,119.65,126.8,51675,131.8693095336931
5m,2026-06-02 09:30:00+05:30,126.8,130.8,120.0,121.3,57070,130.66144662921351
5m,2026-06-02 09:35:00+05:30,121.3,122.0,113.35,116.85,57720,128.87284325637913
5m,2026-06-02 09:40:00+05:30,116.85,126.45,113.95,115.5,56030,127.68744739905095
5m,2026-06-02 09:45:00+05:30,115.5,124.55,114.45,120.05,65715,126.73058807299674
5m,2026-06-02 09:50:00+05:30,120.05,120.55,108.0,108.25,137345,123.83917218543047
5m,2026-06-02 09:55:00+05:30,108.25,111.2,103.95,105.95,70395,122.27728052861924
5m,2026-06-02 10:00:00+05:30,105.95,109.6,104.05,104.7,54210,121.19792183871226
5m,2026-06-02 10:05:00+05:30,104.7,113.55,103.3,111.9,41405,120.63418419181144
5m,2026-06-02 10:10:00+05:30,111.9,116.95,110.75,116.4,40885,120.36278145374344
5m,2026-06-02 10:15:00+05:30,116.4,123.2,104.9,106.35,111800,119.37572976582865
5m,2026-06-02 10:20:00+05:30,106.35,107.35,89.7,91.75,143325,116.49330618094054
5m,2026-06-02 10:25:00+05:30,91.75,94.1,85.65,90.3,103480,114.30592631032694
5m,2026-06-02 10:30:00+05:30,90.3,98.2,88.45,95.2,38415,113.7001988822315
5m,2026-06-02 10:35:00+05:30,95.2,99.4,93.7,94.05,32370,113.26030502480475
5m,2026-06-02 10:40:00+05:30,94.05,95.5,90.0,93.85,27885,112.8446026553781
5m,2026-06-02 10:45:00+05:30,93.85,100.4,93.6,99.5,29900,112.51962223895582
5m,2026-06-02 10:50:00+05:30,99.5,110.7,97.7,108.85,62595,112.22611243678057
5m,2026-06-02 10:55:00+05:30,108.85,116.0,105.55,108.3,79365,112.10750825082508
5m,2026-06-02 11:00:00+05:30,108.3,110.95,103.45,109.3,47190,111.98106355382619
5m,2026-06-02 11:05:00+05:30,108.3,112.8,105.5,112.1,33410,111.94256917423259
5m,2026-06-02 11:10:00+05:30,112.1,112.1,102.0,104.5,112580,111.56587890723627
5m,2026-06-02 11:15:00+05:30,104.5,111.05,103.35,104.5,40105,111.44563734379432
5m,2026-06-02 11:20:00+05:30,104.5,104.55,88.5,88.7,114530,110.3725717726899
5m,2026-06-02 11:25:00+05:30,88.7,99.0,88.5,94.7,57330,109.88776448115063
5m,2026-06-02 11:30:00+05:30,94.7,98.45,93.85,97.1,25675,109.71140607673541
5m,2026-06-02 11:35:00+05:30,97.1,111.25,96.55,110.7,100425,109.53812265991667
5m,2026-06-02 11:40:00+05:30,110.7,110.75,103.45,108.5,121615,109.42793643207072
5m,2026-06-02 11:45:00+05:30,108.5,111.55,104.5,106.5,46540,109.38791335205114
5m,2026-06-02 11:50:00+05:30,106.5,108.45,104.0,108.45,30875,109.35473793521214
5m,2026-06-02 11:55:00+05:30,108.45,113.25,105.2,111.15,31070,109.36170057381324
5m,2026-06-02 12:00:00+05:30,111.75,115.4,106.4,111.0,62335,109.40344652485412
5m,2026-06-02 12:05:00+05:30,111.0,114.55,105.1,105.75,38545,109.38830876275081
5m,2026-06-02 12:10:00+05:30,105.75,114.6,105.75,112.0,26000,109.40335067525675
5m,2026-06-02 12:15:00+05:30,112.0,113.9,108.65,111.0,31915,109.42660201837465
5m,2026-06-02 12:20:00+05:30,111.0,113.0,109.15,111.0,39520,109.45244310049917
5m,2026-06-02 12:25:00+05:30,111.0,114.8,108.75,113.5,47060,109.506344210346
5m,2026-06-02 12:30:00+05:30,113.5,114.7,85.6,94.1,165945,108.80624301754554
5m,2026-06-02 12:35:00+05:30,94.1,96.65,90.0,91.1,72215,108.38299361262446
5m,2026-06-02 12:40:00+05:30,91.1,92.2,79.0,81.45,98605,107.55171273516096
5m,2026-06-02 12:45:00+05:30,81.45,81.45,65.85,67.6,146640,105.80371644699471
5m,2026-06-02 12:50:00+05:30,67.6,69.5,62.85,67.0,96395,104.58378414158307
5m,2026-06-02 12:55:00+05:30,67.0,68.5,60.3,62.9,73710,103.64174527980833
5m,2026-06-02 13:00:00+05:30,62.9,67.5,62.9,64.6,57850,102.95204623241885
5m,2026-06-02 13:05:00+05:30,64.6,66.25,61.4,65.0,39260,102.48846199572006
5m,2026-06-02 13:10:00+05:30,65.0,65.7,55.4,59.6,85215,101.41859827343131
5m,2026-06-02 13:15:00+05:30,59.6,61.45,57.9,59.5,62920,100.6514594826878
5m,2026-06-02 13:20:00+05:30,60.25,61.3,55.6,55.6,41990,100.12937151561691
5m,2026-06-02 13:25:00+05:30,55.6,57.95,52.05,52.6,40560,99.59879914347952
5m,2026-06-02 13:30:00+05:30,52.6,52.6,48.6,50.1,66430,98.68586275186686
5m,2026-06-02 13:35:00+05:30,50.1,51.9,48.95,50.25,50440,98.01407745826988
5m,2026-06-02 13:40:00+05:30,50.25,53.3,50.25,52.4,49920,97.38930302976749
5m,2026-06-02 13:45:00+05:30,52.4,52.85,47.45,48.35,27820,97.03015792274006
5m,2026-06-02 13:50:00+05:30,48.35,51.1,47.2,49.4,29055,96.65831795978512
5m,2026-06-02 13:55:00+05:30,49.4,51.3,49.0,49.75,47125,96.07713106348362
5m,2026-06-02 14:00:00+05:30,49.75,49.95,46.9,47.6,45045,95.5130047331114
5m,2026-06-02 14:05:00+05:30,47.6,49.0,44.8,45.45,35035,95.06761339729026
5m,2026-06-02 14:10:00+05:30,45.45,46.85,45.0,46.25,74295,94.14211747415702
5m,2026-06-02 14:15:00+05:30,46.25,49.75,45.05,49.25,35425,93.73070771211454
5m,2026-06-02 14:20:00+05:30,49.25,49.4,41.85,44.3,157300,91.88122569777877
5m,2026-06-02 14:25:00+05:30,44.3,48.2,44.3,47.1,59800,91.23383093069329
5m,2026-06-02 14:30:00+05:30,47.15,48.95,46.45,47.65,41860,90.80292275467195
5m,2026-06-02 14:35:00+05:30,47.65,53.5,47.5,53.5,52715,90.31922567199814
5m,2026-06-02 14:40:00+05:30,53.5,62.0,52.95,59.85,230230,88.68428667434716
5m,2026-06-02 14:45:00+05:30,59.8,66.15,56.55,56.55,147420,87.76914523716555
5m,2026-06-02 14:50:00+05:30,56.3,57.95,53.3,56.0,102700,87.07885147181895
5m,2026-06-02 14:55:00+05:30,56.0,60.75,55.75,60.05,53235,86.76687784779666
5m,2026-06-02 15:00:00+05:30,60.05,62.65,49.8,51.65,87100,86.19734405167425
5m,2026-06-02 15:05:00+05:30,51.65,51.65,45.0,45.85,62010,85.71414008542646
5m,2026-06-02 15:10:00+05:30,45.85,47.9,43.8,47.55,86840,85.03876768248496
5m,2026-06-02 15:15:00+05:30,47.55,48.6,42.0,43.25,145730,83.90564085572463
5m,2026-06-02 15:20:00+05:30,43.25,44.55,42.35,44.45,93470,83.19699428047377
5m,2026-06-02 15:25:00+05:30,44.45,47.4,43.85,45.5,127140,82.31454647587749
5m,2026-06-03 09:15:00+05:30,50.0,121.1,50.0,118.85,2316925,96.64999999999999
5m,2026-06-03 09:20:00+05:30,118.85,129.6,117.8,122.8,1260610,106.07585257726339
5m,2026-06-03 09:25:00+05:30,122.8,139.0,121.0,128.85,1269905,112.24294232282058
5m,2026-06-03 09:30:00+05:30,128.85,144.85,124.2,144.0,1294410,117.60456732634847
5m,2026-06-03 09:35:00+05:30,144.0,148.0,131.65,135.15,1077115,120.68748255463214
5m,2026-06-03 09:40:00+05:30,135.15,143.05,133.4,136.5,720005,122.225855589579
5m,2026-06-03 09:45:00+05:30,136.5,143.5,130.8,134.4,588380,123.19235980892852
5m,2026-06-03 09:50:00+05:30,134.4,146.5,121.9,146.05,1055340,124.83964214815114
5m,2026-06-03 09:55:00+05:30,146.05,153.5,132.9,140.35,2206230,128.09789259038712
5m,2026-06-03 10:00:00+05:30,140.35,144.7,127.0,127.15,730275,128.38092778063339
5m,2026-06-03 10:05:00+05:30,127.15,138.75,125.8,138.75,674245,128.69023332807816
5m,2026-06-03 10:10:00+05:30,138.75,152.15,138.4,149.6,1188785,130.18023599153352
5m,2026-06-03 10:15:00+05:30,149.6,157.0,134.85,136.5,1273610,131.20550425767772
5m,2026-06-03 10:20:00+05:30,136.5,139.75,128.6,138.5,774995,131.41356610307167
5m,2026-06-03 10:25:00+05:30,138.5,143.1,132.7,140.45,734175,131.72735723545279
5m,2026-06-03 10:30:00+05:30,140.45,159.75,137.05,154.75,1521585,133.25730632680083
5m,2026-06-03 10:35:00+05:30,154.75,156.9,140.75,146.85,1048320,134.04929274231972
5m,2026-06-03 10:40:00+05:30,146.85,150.55,139.5,150.55,613860,134.43595361455917
5m,2026-06-03 10:45:00+05:30,150.25,153.9,142.9,143.5,742430,134.87000626643655
