tf,date,open,high,low,close,volume
5m,2026-05-06 09:15:00+05:30,19.9,19.9,8.9,13.15,3118635
5m,2026-05-06 09:20:00+05:30,13.15,14.35,11.8,12.5,1803165
5m,2026-05-06 09:25:00+05:30,12.5,14.2,12.2,13.65,679770
5m,2026-05-06 09:30:00+05:30,13.65,14.15,12.85,14.05,561665
5m,2026-05-06 09:35:00+05:30,14.05,15.3,13.8,15.2,816530
5m,2026-05-06 09:40:00+05:30,15.2,16.25,14.85,15.15,618930
5m,2026-05-06 09:45:00+05:30,15.15,15.85,14.45,14.95,497705
5m,2026-05-06 09:50:00+05:30,14.95,16.7,13.9,13.9,571870
5m,2026-05-06 09:55:00+05:30,14.0,14.35,12.8,14.35,517205
5m,2026-05-06 10:00:00+05:30,14.35,15.9,14.2,15.6,1138800
5m,2026-05-06 10:05:00+05:30,15.6,16.3,15.25,15.5,636675
5m,2026-05-06 10:10:00+05:30,15.5,15.9,13.3,13.5,661440
5m,2026-05-06 10:15:00+05:30,13.5,15.0,13.25,13.45,367445
5m,2026-05-06 10:20:00+05:30,13.45,13.75,12.85,13.75,374595
5m,2026-05-06 10:25:00+05:30,13.75,14.45,13.25,14.4,304785
5m,2026-05-06 10:30:00+05:30,14.4,14.9,13.5,14.5,269555
5m,2026-05-06 10:35:00+05:30,14.5,15.1,13.85,14.15,247975
5m,2026-05-06 10:40:00+05:30,14.15,14.25,12.65,13.1,509860
5m,2026-05-06 10:45:00+05:30,13.1,14.0,13.0,13.55,222235
5m,2026-05-06 10:50:00+05:30,13.55,16.1,13.3,15.85,600080
5m,2026-05-06 10:55:00+05:30,15.75,16.1,14.85,15.3,288080
5m,2026-05-06 11:00:00+05:30,15.3,17.75,14.45,17.75,668720
5m,2026-05-06 11:05:00+05:30,17.75,17.75,15.25,15.5,577655
5m,2026-05-06 11:10:00+05:30,15.5,16.4,15.3,15.6,259155
5m,2026-05-06 11:15:00+05:30,15.6,16.1,14.3,16.0,283725
5m,2026-05-06 11:20:00+05:30,16.0,16.25,14.6,15.5,159250
5m,2026-05-06 11:25:00+05:30,15.5,15.6,14.15,14.25,109720
5m,2026-05-06 11:30:00+05:30,14.2,14.2,13.25,13.45,293345
5m,2026-05-06 11:35:00+05:30,13.45,16.75,13.45,15.7,561795
5m,2026-05-06 11:40:00+05:30,15.7,16.2,13.85,14.15,394030
5m,2026-05-06 11:45:00+05:30,14.15,14.55,13.5,13.65,230490
5m,2026-05-06 11:50:00+05:30,13.6,14.15,13.25,13.3,144820
5m,2026-05-06 11:55:00+05:30,13.3,14.0,13.0,13.9,195065
5m,2026-05-06 12:00:00+05:30,13.9,14.6,13.5,14.05,193570
5m,2026-05-06 12:05:00+05:30,14.05,15.25,14.05,14.75,225550
5m,2026-05-06 12:10:00+05:30,14.75,16.0,14.55,15.75,292630
5m,2026-05-06 12:15:00+05:30,15.75,16.5,15.3,15.9,566345
5m,2026-05-06 12:20:00+05:30,15.85,22.3,15.85,20.75,1151345
5m,2026-05-06 12:25:00+05:30,20.75,21.6,18.7,19.0,1050465
5m,2026-05-06 12:30:00+05:30,19.0,20.7,19.0,19.7,524095
5m,2026-05-06 12:35:00+05:30,19.7,21.75,19.4,20.9,541125
5m,2026-05-06 12:40:00+05:30,20.9,23.05,19.8,22.3,897715
5m,2026-05-06 12:45:00+05:30,22.3,24.5,21.4,22.75,554840
5m,2026-05-06 12:50:00+05:30,22.75,25.8,22.25,24.2,775450
5m,2026-05-06 12:55:00+05:30,24.2,24.55,22.65,22.65,530660
5m,2026-05-06 13:00:00+05:30,22.65,26.95,22.65,26.4,779415
5m,2026-05-06 13:05:00+05:30,26.4,26.6,22.0,22.15,648115
5m,2026-05-06 13:10:00+05:30,22.15,22.6,21.25,21.45,705250
5m,2026-05-06 13:15:00+05:30,21.45,22.15,18.25,18.9,486720
5m,2026-05-06 13:20:00+05:30,18.95,18.95,17.1,17.7,696865
5m,2026-05-06 13:25:00+05:30,17.7,17.8,16.85,17.05,433420
5m,2026-05-06 13:30:00+05:30,16.95,17.0,15.25,15.85,340665
5m,2026-05-06 13:35:00+05:30,15.85,16.05,14.6,15.25,304915
5m,2026-05-06 13:40:00+05:30,15.25,15.6,14.95,15.0,135590
5m,2026-05-06 13:45:00+05:30,15.0,15.3,14.5,14.75,132470
5m,2026-05-06 13:50:00+05:30,14.7,15.15,14.25,14.25,222560
5m,2026-05-06 13:55:00+05:30,14.25,15.0,14.05,14.6,150475
5m,2026-05-06 14:00:00+05:30,14.5,14.75,14.05,14.4,237900
5m,2026-05-06 14:05:00+05:30,14.4,15.2,14.1,14.85,123890
5m,2026-05-06 14:10:00+05:30,14.85,14.85,12.15,12.2,375895
5m,2026-05-06 14:15:00+05:30,12.2,12.2,11.3,11.95,799630
5m,2026-05-06 14:20:00+05:30,11.85,11.9,8.8,8.85,2067715
5m,2026-05-06 14:25:00+05:30,8.85,9.35,8.4,8.65,1414595
5m,2026-05-06 14:30:00+05:30,8.65,8.85,7.75,8.3,1928355
5m,2026-05-06 14:35:00+05:30,8.25,8.55,8.0,8.4,494585
5m,2026-05-06 14:40:00+05:30,8.4,8.6,8.05,8.15,623415
5m,2026-05-06 14:45:00+05:30,8.15,8.2,7.7,8.2,798135
