tf,date,open,high,low,close,volume
5m,2026-05-06 09:15:00+05:30,20.0,20.0,10.05,15.0,1091155
5m,2026-05-06 09:20:00+05:30,15.0,16.5,13.5,14.5,442260
5m,2026-05-06 09:25:00+05:30,14.5,16.35,14.15,15.75,266370
5m,2026-05-06 09:30:00+05:30,15.75,16.5,14.85,16.2,270010
5m,2026-05-06 09:35:00+05:30,16.2,17.85,16.0,17.6,401570
5m,2026-05-06 09:40:00+05:30,17.6,18.9,17.25,17.7,266890
5m,2026-05-06 09:45:00+05:30,17.7,18.45,16.85,17.5,313365
5m,2026-05-06 09:50:00+05:30,17.5,19.45,16.2,16.25,356720
5m,2026-05-06 09:55:00+05:30,16.25,16.75,14.9,16.75,206050
5m,2026-05-06 10:00:00+05:30,16.75,18.6,16.55,18.25,355095
5m,2026-05-06 10:05:00+05:30,18.25,19.15,17.85,18.1,236470
5m,2026-05-06 10:10:00+05:30,18.1,18.6,15.45,15.8,177060
5m,2026-05-06 10:15:00+05:30,15.8,17.45,15.4,15.65,172770
5m,2026-05-06 10:20:00+05:30,15.7,16.0,14.9,16.0,94640
5m,2026-05-06 10:25:00+05:30,16.0,16.85,15.4,16.8,129740
5m,2026-05-06 10:30:00+05:30,16.8,17.4,15.75,16.85,149435
5m,2026-05-06 10:35:00+05:30,16.85,17.7,16.3,16.6,142220
5m,2026-05-06 10:40:00+05:30,16.6,16.6,14.7,15.25,236795
5m,2026-05-06 10:45:00+05:30,15.25,16.3,15.15,15.8,101855
5m,2026-05-06 10:50:00+05:30,15.8,18.95,15.5,18.6,226395
5m,2026-05-06 10:55:00+05:30,18.6,18.9,17.3,17.95,118430
5m,2026-05-06 11:00:00+05:30,17.95,20.85,16.95,20.85,194350
5m,2026-05-06 11:05:00+05:30,20.8,21.0,17.9,18.1,199290
5m,2026-05-06 11:10:00+05:30,18.1,19.15,18.0,18.35,89245
5m,2026-05-06 11:15:00+05:30,18.3,18.85,16.8,18.85,117455
5m,2026-05-06 11:20:00+05:30,18.85,19.2,17.1,18.15,72540
5m,2026-05-06 11:25:00+05:30,18.15,18.3,16.55,16.55,41665
5m,2026-05-06 11:30:00+05:30,16.65,16.75,15.55,15.8,102960
5m,2026-05-06 11:35:00+05:30,15.75,19.65,15.75,18.55,243360
5m,2026-05-06 11:40:00+05:30,18.8,19.15,16.25,16.55,182325
5m,2026-05-06 11:45:00+05:30,16.55,17.1,15.9,16.0,104065
5m,2026-05-06 11:50:00+05:30,16.0,16.7,15.5,15.6,94120
5m,2026-05-06 11:55:00+05:30,15.6,16.4,15.2,16.35,81770
5m,2026-05-06 12:00:00+05:30,16.35,17.2,15.85,16.6,60970
5m,2026-05-06 12:05:00+05:30,16.6,18.0,16.6,17.4,111800
5m,2026-05-06 12:10:00+05:30,17.4,18.95,17.2,18.5,171860
5m,2026-05-06 12:15:00+05:30,18.6,19.55,18.05,18.75,223860
5m,2026-05-06 12:20:00+05:30,18.9,26.25,18.8,24.3,516295
5m,2026-05-06 12:25:00+05:30,24.3,25.7,22.0,22.5,401180
5m,2026-05-06 12:30:00+05:30,22.5,24.35,22.5,23.05,247975
5m,2026-05-06 12:35:00+05:30,23.05,25.55,22.8,24.6,192530
5m,2026-05-06 12:40:00+05:30,24.6,27.15,23.35,26.2,272545
5m,2026-05-06 12:45:00+05:30,26.2,28.8,25.15,26.65,399360
5m,2026-05-06 12:50:00+05:30,26.65,30.3,26.3,28.4,478465
5m,2026-05-06 12:55:00+05:30,28.4,29.05,26.5,26.5,247455
5m,2026-05-06 13:00:00+05:30,26.5,31.65,26.5,31.05,364000
5m,2026-05-06 13:05:00+05:30,31.15,31.25,25.8,25.95,261495
5m,2026-05-06 13:10:00+05:30,25.95,26.55,24.85,25.15,150215
