date,open,high,low,close,volume
2026-02-25 09:15:00+05:30,25512.6,25633.25,25507.9,25631.75,0
2026-02-25 10:15:00+05:30,25631.6,25652.6,25607.5,25616.0,0
2026-02-25 11:15:00+05:30,25615.5,25622.2,25581.05,25600.2,0
2026-02-25 12:15:00+05:30,25599.7,25615.5,25440.05,25462.6,0
2026-02-25 13:15:00+05:30,25462.4,25485.2,25428.2,25457.1,0
2026-02-25 14:15:00+05:30,25457.3,25506.55,25439.95,25478.5,0
2026-02-25 15:15:00+05:30,25477.05,25488.1,25471.05,25478.65,0
2026-02-26 09:15:00+05:30,25556.3,25572.95,25487.85,25558.25,0
2026-02-26 10:15:00+05:30,25558.6,25562.0,25491.7,25523.25,0
2026-02-26 11:15:00+05:30,25522.75,25570.85,25446.55,25459.3,0
2026-02-26 12:15:00+05:30,25458.05,25468.5,25400.95,25428.55,0
2026-02-26 13:15:00+05:30,25428.2,25460.55,25403.4,25453.45,0
2026-02-26 14:15:00+05:30,25456.65,25527.15,25427.0,25486.15,0
2026-02-26 15:15:00+05:30,25486.95,25503.25,25482.95,25493.3,0
2026-02-27 09:15:00+05:30,25459.85,25476.4,25308.6,25322.6,0
2026-02-27 10:15:00+05:30,25321.95,25346.45,25292.4,25335.0,0
2026-02-27 11:15:00+05:30,25334.55,25341.65,25271.75,25284.95,0
2026-02-27 12:15:00+05:30,25285.35,25313.15,25268.7,25289.7,0
2026-02-27 13:15:00+05:30,25288.8,25352.05,25281.65,25324.55,0
2026-02-27 14:15:00+05:30,25324.2,25328.9,25141.3,25167.9,0
2026-02-27 15:15:00+05:30,25168.8,25189.1,25159.35,25181.8,0
2026-03-02 09:15:00+05:30,24659.25,24989.35,24645.1,24884.85,0
2026-03-02 10:15:00+05:30,24885.35,24887.85,24812.25,24843.2,0
2026-03-02 11:15:00+05:30,24844.8,24849.2,24743.25,24744.55,0
2026-03-02 12:15:00+05:30,24743.5,24756.0,24679.1,24695.5,0
2026-03-02 13:15:00+05:30,24695.65,24795.5,24603.5,24787.4,0
2026-03-02 14:15:00+05:30,24787.5,24904.8,24722.5,24904.8,0
2026-03-02 15:15:00+05:30,24905.25,24914.85,24845.2,24849.75,0
2026-03-04 09:15:00+05:30,24388.8,24476.95,24305.4,24413.65,0
2026-03-04 10:15:00+05:30,24413.65,24461.4,24375.7,24435.45,0
2026-03-04 11:15:00+05:30,24436.15,24438.9,24354.15,24379.85,0
2026-03-04 12:15:00+05:30,24381.15,24461.0,24357.75,24461.0,0
2026-03-04 13:15:00+05:30,24461.45,24556.95,24415.75,24554.95,0
2026-03-04 14:15:00+05:30,24555.35,24602.45,24457.45,24465.95,0
