tf,date,open,high,low,close,volume
5m,2026-05-18 09:15:00+05:30,108.05,119.15,100.25,102.0,247000
5m,2026-05-18 09:20:00+05:30,101.8,103.0,98.75,100.95,172575
5m,2026-05-18 09:25:00+05:30,101.1,101.8,94.3,97.0,127205
5m,2026-05-18 09:30:00+05:30,97.0,99.0,95.15,98.1,118040
5m,2026-05-18 09:35:00+05:30,98.1,100.0,90.25,92.2,92755
5m,2026-05-18 09:40:00+05:30,92.2,95.45,90.05,92.8,123370
5m,2026-05-18 09:45:00+05:30,92.8,93.9,87.05,88.35,145405
5m,2026-05-18 09:50:00+05:30,87.45,89.1,83.25,84.05,134160
5m,2026-05-18 09:55:00+05:30,84.05,86.1,82.1,86.0,77415
5m,2026-05-18 10:00:00+05:30,85.8,90.2,85.3,89.7,65325
5m,2026-05-18 10:05:00+05:30,89.7,90.65,85.05,86.75,64480
5m,2026-05-18 10:10:00+05:30,86.8,90.1,86.25,88.35,41275
5m,2026-05-18 10:15:00+05:30,88.35,93.0,86.5,91.55,59150
5m,2026-05-18 10:20:00+05:30,91.15,92.5,88.0,89.5,39650
5m,2026-05-18 10:25:00+05:30,89.5,90.3,87.6,89.0,28925
5m,2026-05-18 10:30:00+05:30,89.0,97.5,84.5,96.8,65585
5m,2026-05-18 10:35:00+05:30,97.15,100.5,94.75,96.5,108810
5m,2026-05-18 10:40:00+05:30,96.5,98.4,88.65,93.05,48230
5m,2026-05-18 10:45:00+05:30,92.5,93.8,85.9,90.5,45565
5m,2026-05-18 10:50:00+05:30,90.8,99.5,90.8,96.75,62335
5m,2026-05-18 10:55:00+05:30,96.75,101.65,96.5,100.0,78195
5m,2026-05-18 11:00:00+05:30,100.0,102.0,96.0,97.7,45630
5m,2026-05-18 11:05:00+05:30,97.7,104.4,96.85,101.85,59150
5m,2026-05-18 11:10:00+05:30,101.85,101.85,97.85,99.95,33215
5m,2026-05-18 11:15:00+05:30,99.95,106.5,99.0,106.05,84565
5m,2026-05-18 11:20:00+05:30,105.9,118.2,100.8,115.8,119860
5m,2026-05-18 11:25:00+05:30,115.8,117.15,106.0,107.95,65455
5m,2026-05-18 11:30:00+05:30,107.5,121.8,106.9,119.2,81705
5m,2026-05-18 11:35:00+05:30,119.2,135.7,117.15,134.45,92625
5m,2026-05-18 11:40:00+05:30,134.45,134.45,119.0,123.65,95745
5m,2026-05-18 11:45:00+05:30,124.4,125.4,108.45,111.5,94185
5m,2026-05-18 11:50:00+05:30,111.45,112.3,106.2,106.5,64740
5m,2026-05-18 11:55:00+05:30,106.5,110.05,98.5,98.8,45305
5m,2026-05-18 12:00:00+05:30,98.8,103.0,96.95,100.45,52650
5m,2026-05-18 12:05:00+05:30,100.45,109.0,100.45,106.0,31395
5m,2026-05-18 12:10:00+05:30,106.0,118.0,105.8,117.45,46215
5m,2026-05-18 12:15:00+05:30,117.45,121.45,113.0,115.2,40755
5m,2026-05-18 12:20:00+05:30,115.2,120.0,113.65,119.8,13520
5m,2026-05-18 12:25:00+05:30,119.45,128.0,119.45,125.4,45175
5m,2026-05-18 12:30:00+05:30,127.0,140.0,126.8,135.9,45435
5m,2026-05-18 12:35:00+05:30,135.9,142.55,135.5,139.0,94315
5m,2026-05-18 12:40:00+05:30,138.9,140.8,128.45,132.0,39390
5m,2026-05-18 12:45:00+05:30,132.0,133.9,127.05,129.5,26455
5m,2026-05-18 12:50:00+05:30,129.5,136.9,129.25,136.0,23335
5m,2026-05-18 12:55:00+05:30,136.0,155.35,136.0,154.4,109525
5m,2026-05-18 13:00:00+05:30,154.15,164.0,150.55,157.05,95485
5m,2026-05-18 13:05:00+05:30,157.05,157.05,140.35,141.95,54600
5m,2026-05-18 13:10:00+05:30,141.95,145.7,135.75,145.65,37830
5m,2026-05-18 13:15:00+05:30,145.65,152.45,144.45,147.6,31980
5m,2026-05-18 13:20:00+05:30,147.6,150.85,137.4,150.05,35360
5m,2026-05-18 13:25:00+05:30,150.45,153.5,142.0,146.25,49725
5m,2026-05-18 13:30:00+05:30,146.25,152.9,144.65,151.3,14690
5m,2026-05-18 13:35:00+05:30,152.0,153.0,143.85,144.0,67470
5m,2026-05-18 13:40:00+05:30,144.0,151.5,140.4,149.0,41470
5m,2026-05-18 13:45:00+05:30,149.0,150.7,141.5,150.7,14560
5m,2026-05-18 13:50:00+05:30,150.7,160.0,148.2,156.7,50830
5m,2026-05-18 13:55:00+05:30,156.7,161.7,150.7,155.65,48750
5m,2026-05-18 14:00:00+05:30,156.8,160.05,150.55,155.7,25415
5m,2026-05-18 14:05:00+05:30,155.7,156.15,143.6,145.55,46995
5m,2026-05-18 14:10:00+05:30,145.55,150.95,142.55,144.85,17225
5m,2026-05-18 14:15:00+05:30,144.85,146.95,136.25,144.5,36985
5m,2026-05-18 14:20:00+05:30,144.5,146.9,138.35,138.35,24505
5m,2026-05-18 14:25:00+05:30,137.2,150.25,136.45,144.1,43160
5m,2026-05-18 14:30:00+05:30,144.1,150.35,136.95,139.3,32500
5m,2026-05-18 14:35:00+05:30,139.3,141.8,133.9,133.9,61555
5m,2026-05-18 14:40:00+05:30,133.9,147.0,132.45,143.2,32630
5m,2026-05-18 14:45:00+05:30,143.2,146.2,134.8,134.8,24050
5m,2026-05-18 14:50:00+05:30,134.8,138.6,132.7,137.2,29770
5m,2026-05-18 14:55:00+05:30,137.2,137.2,128.0,134.8,34580
5m,2026-05-18 15:00:00+05:30,134.8,171.35,131.65,156.8,189540
5m,2026-05-18 15:05:00+05:30,157.8,164.5,143.0,148.7,95940
5m,2026-05-18 15:10:00+05:30,148.7,156.0,146.05,149.3,105105
5m,2026-05-18 15:15:00+05:30,149.3,150.65,143.0,145.3,60190
5m,2026-05-18 15:20:00+05:30,145.3,156.3,144.75,154.85,136760
5m,2026-05-18 15:25:00+05:30,153.75,156.4,147.6,155.0,129740
5m,2026-05-19 09:15:00+05:30,160.0,165.55,139.8,158.7,490230
5m,2026-05-19 09:20:00+05:30,158.7,168.1,156.0,164.8,216125
5m,2026-05-19 09:25:00+05:30,164.65,170.25,161.95,170.25,158665
5m,2026-05-19 09:30:00+05:30,170.4,172.0,142.25,142.85,220285
5m,2026-05-19 09:35:00+05:30,142.85,151.7,130.75,149.6,217230
5m,2026-05-19 09:40:00+05:30,150.0,166.95,149.1,162.55,168545
5m,2026-05-19 09:45:00+05:30,162.55,164.2,143.15,145.2,119795
5m,2026-05-19 09:50:00+05:30,145.2,149.9,139.6,143.35,148135
5m,2026-05-19 09:55:00+05:30,143.35,148.2,137.75,137.75,163540
5m,2026-05-19 10:00:00+05:30,138.0,152.7,137.9,145.0,147355
5m,2026-05-19 10:05:00+05:30,145.0,153.2,145.0,151.75,99710
5m,2026-05-19 10:10:00+05:30,151.3,166.45,150.3,158.4,149240
5m,2026-05-19 10:15:00+05:30,158.4,164.25,145.8,145.8,92820
5m,2026-05-19 10:20:00+05:30,145.4,156.95,145.4,153.55,77350
5m,2026-05-19 10:25:00+05:30,152.95,160.6,150.95,157.55,58110
5m,2026-05-19 10:30:00+05:30,157.55,160.3,150.4,153.95,61165
5m,2026-05-19 10:35:00+05:30,153.95,159.55,150.75,158.8,69095
5m,2026-05-19 10:40:00+05:30,158.8,163.4,155.0,159.6,84110
5m,2026-05-19 10:45:00+05:30,159.6,165.15,153.45,157.7,142545
5m,2026-05-19 10:50:00+05:30,157.75,162.3,142.6,150.7,93795
5m,2026-05-19 10:55:00+05:30,150.7,166.4,150.7,160.4,133575
5m,2026-05-19 11:00:00+05:30,160.4,162.65,148.55,153.0,66105
5m,2026-05-19 11:05:00+05:30,153.0,154.35,147.05,149.85,47125
5m,2026-05-19 11:10:00+05:30,149.85,153.75,139.2,139.9,98605
5m,2026-05-19 11:15:00+05:30,139.9,142.05,135.0,137.1,154375
5m,2026-05-19 11:20:00+05:30,137.25,142.8,135.1,140.2,64870
5m,2026-05-19 11:25:00+05:30,140.2,145.5,137.15,145.5,66430
5m,2026-05-19 11:30:00+05:30,145.5,145.5,138.6,144.3,45565
5m,2026-05-19 11:35:00+05:30,144.3,145.9,139.0,145.2,33540
5m,2026-05-19 11:40:00+05:30,145.2,153.65,143.65,153.1,118560
5m,2026-05-19 11:45:00+05:30,153.3,156.55,150.15,153.9,67145
5m,2026-05-19 11:50:00+05:30,153.9,157.2,152.55,154.15,63960
5m,2026-05-19 11:55:00+05:30,154.1,161.15,152.0,152.35,132925
5m,2026-05-19 12:00:00+05:30,152.9,153.25,144.6,147.05,86645
5m,2026-05-19 12:05:00+05:30,147.15,150.8,145.5,148.85,34840
5m,2026-05-19 12:10:00+05:30,148.85,151.0,147.95,149.0,41665
5m,2026-05-19 12:15:00+05:30,149.0,150.3,142.75,147.6,63505
5m,2026-05-19 12:20:00+05:30,147.6,152.5,143.45,144.9,54665
5m,2026-05-19 12:25:00+05:30,145.0,150.0,140.55,149.1,52520
5m,2026-05-19 12:30:00+05:30,149.1,149.3,142.25,146.0,44720
5m,2026-05-19 12:35:00+05:30,146.0,148.6,140.65,147.2,60970
5m,2026-05-19 12:40:00+05:30,147.2,147.65,142.6,144.0,26325
5m,2026-05-19 12:45:00+05:30,144.0,146.0,138.65,142.9,49920
5m,2026-05-19 12:50:00+05:30,142.9,144.5,138.9,142.5,63895
5m,2026-05-19 12:55:00+05:30,142.0,143.05,139.2,140.0,30355
5m,2026-05-19 13:00:00+05:30,140.0,143.2,134.45,135.55,122785
5m,2026-05-19 13:05:00+05:30,134.95,142.45,133.2,141.45,71110
5m,2026-05-19 13:10:00+05:30,141.45,141.45,134.0,134.0,38545
5m,2026-05-19 13:15:00+05:30,134.0,146.8,132.05,142.6,80210
5m,2026-05-19 13:20:00+05:30,142.6,144.8,140.8,144.0,32240
5m,2026-05-19 13:25:00+05:30,144.0,144.85,141.25,142.25,36985
5m,2026-05-19 13:30:00+05:30,142.7,145.7,140.55,142.5,42315
5m,2026-05-19 13:35:00+05:30,142.5,142.5,122.95,130.05,147810
5m,2026-05-19 13:40:00+05:30,130.05,130.9,126.9,127.45,95875
5m,2026-05-19 13:45:00+05:30,127.45,135.0,127.15,130.0,87100
5m,2026-05-19 13:50:00+05:30,129.3,132.8,127.0,127.1,65065
5m,2026-05-19 13:55:00+05:30,127.35,127.35,118.25,123.9,129935
5m,2026-05-19 14:00:00+05:30,123.9,134.65,123.05,132.85,119535
5m,2026-05-19 14:05:00+05:30,132.85,135.3,129.65,130.35,68120
5m,2026-05-19 14:10:00+05:30,130.35,135.35,128.3,133.2,95420
5m,2026-05-19 14:15:00+05:30,133.2,138.7,132.4,133.0,91000
5m,2026-05-19 14:20:00+05:30,133.3,134.65,127.2,129.25,85930
5m,2026-05-19 14:25:00+05:30,129.25,131.25,125.85,127.1,54990
5m,2026-05-19 14:30:00+05:30,127.2,128.5,123.4,125.65,82940
5m,2026-05-19 14:35:00+05:30,125.65,125.8,120.15,122.8,163150
5m,2026-05-19 14:40:00+05:30,123.1,124.3,112.05,113.75,177775
5m,2026-05-19 14:45:00+05:30,113.55,113.55,107.45,113.2,288275
5m,2026-05-19 14:50:00+05:30,113.0,116.55,111.75,113.3,298155
5m,2026-05-19 14:55:00+05:30,112.75,114.8,110.1,111.95,161525
5m,2026-05-19 15:00:00+05:30,111.95,113.35,101.5,103.3,290485
5m,2026-05-19 15:05:00+05:30,103.3,107.5,101.35,101.75,152230
5m,2026-05-19 15:10:00+05:30,101.85,102.0,96.25,101.05,357760
5m,2026-05-19 15:15:00+05:30,101.1,101.1,91.95,95.75,418275
5m,2026-05-19 15:20:00+05:30,95.95,97.8,92.45,93.3,599950
5m,2026-05-19 15:25:00+05:30,93.4,96.45,89.35,93.8,594555
5m,2026-05-20 09:15:00+05:30,58.85,64.65,41.35,61.7,2554435
5m,2026-05-20 09:20:00+05:30,61.7,63.6,57.8,60.3,1079715
5m,2026-05-20 09:25:00+05:30,60.3,66.45,59.0,64.5,935545
5m,2026-05-20 09:30:00+05:30,64.5,80.7,64.25,77.8,1530035
5m,2026-05-20 09:35:00+05:30,77.8,82.45,75.2,80.9,993850
5m,2026-05-20 09:40:00+05:30,80.9,80.9,71.25,79.45,1119820
5m,2026-05-20 09:45:00+05:30,79.25,81.6,73.1,76.05,770380
5m,2026-05-20 09:50:00+05:30,75.9,81.25,74.5,76.65,570765
5m,2026-05-20 09:55:00+05:30,76.65,83.05,73.5,80.55,651170
5m,2026-05-20 10:00:00+05:30,80.55,80.75,67.65,70.85,774345
5m,2026-05-20 10:05:00+05:30,70.85,71.7,66.05,70.1,1298635
5m,2026-05-20 10:10:00+05:30,70.1,73.4,67.95,68.7,532220
5m,2026-05-20 10:15:00+05:30,68.6,73.5,67.55,69.45,511485
5m,2026-05-20 10:20:00+05:30,68.85,71.1,62.2,62.3,668005
5m,2026-05-20 10:25:00+05:30,62.3,76.35,62.3,76.35,941265
5m,2026-05-20 10:30:00+05:30,76.35,89.2,75.55,89.2,1759810
5m,2026-05-20 10:35:00+05:30,88.6,93.05,85.7,85.7,1203215
5m,2026-05-20 10:40:00+05:30,85.55,87.05,76.3,77.15,758355
5m,2026-05-20 10:45:00+05:30,77.15,77.4,68.1,69.95,703235
5m,2026-05-20 10:50:00+05:30,69.95,79.75,69.95,79.6,811265
5m,2026-05-20 10:55:00+05:30,80.2,81.25,77.0,80.5,548080
5m,2026-05-20 11:00:00+05:30,80.5,89.35,80.5,85.6,884325
5m,2026-05-20 11:05:00+05:30,85.7,89.4,83.35,87.5,432445
5m,2026-05-20 11:10:00+05:30,87.5,89.7,83.2,83.2,480155
5m,2026-05-20 11:15:00+05:30,83.2,86.25,80.0,80.6,590525
