tf,date,open,high,low,close,volume
5m,2026-04-28 09:15:00+05:30,150.0,154.95,117.5,146.2,381615
5m,2026-04-28 09:20:00+05:30,146.2,152.05,135.45,140.35,236665
5m,2026-04-28 09:25:00+05:30,140.8,160.2,140.8,152.6,210275
5m,2026-04-28 09:30:00+05:30,152.6,156.4,147.0,149.7,122330
5m,2026-04-28 09:35:00+05:30,149.15,153.65,142.3,147.05,135915
5m,2026-04-28 09:40:00+05:30,147.1,158.95,146.3,158.5,151190
5m,2026-04-28 09:45:00+05:30,158.5,166.7,151.0,151.0,242515
5m,2026-04-28 09:50:00+05:30,150.3,155.7,146.75,153.85,106015
5m,2026-04-28 09:55:00+05:30,153.3,164.65,153.3,164.0,143715
5m,2026-04-28 10:00:00+05:30,164.0,170.0,163.35,165.15,202020
5m,2026-04-28 10:05:00+05:30,165.15,167.7,157.1,165.25,238355
5m,2026-04-28 10:10:00+05:30,165.3,165.3,156.05,158.95,74750
5m,2026-04-28 10:15:00+05:30,158.95,165.05,155.7,163.75,62920
5m,2026-04-28 10:20:00+05:30,163.75,168.1,161.55,164.35,139360
5m,2026-04-28 10:25:00+05:30,164.35,168.6,160.0,162.2,131235
5m,2026-04-28 10:30:00+05:30,162.0,163.5,154.65,156.45,89375
5m,2026-04-28 10:35:00+05:30,156.45,156.45,149.45,152.85,119470
5m,2026-04-28 10:40:00+05:30,152.85,153.1,146.5,152.95,99320
5m,2026-04-28 10:45:00+05:30,152.65,158.5,151.4,156.35,100425
5m,2026-04-28 10:50:00+05:30,156.6,162.75,156.1,161.5,129610
5m,2026-04-28 10:55:00+05:30,161.25,164.6,160.45,163.15,70200
5m,2026-04-28 11:00:00+05:30,163.15,163.15,156.0,158.25,48815
5m,2026-04-28 11:05:00+05:30,158.25,158.5,149.25,154.05,108030
5m,2026-04-28 11:10:00+05:30,153.45,154.4,147.25,153.3,76375
5m,2026-04-28 11:15:00+05:30,153.3,153.3,146.2,148.85,89635
5m,2026-04-28 11:20:00+05:30,148.45,152.35,139.0,139.35,161525
5m,2026-04-28 11:25:00+05:30,138.75,138.75,122.0,122.35,340535
5m,2026-04-28 11:30:00+05:30,122.35,126.0,117.0,124.7,210470
5m,2026-04-28 11:35:00+05:30,124.7,131.0,123.2,130.45,186160
5m,2026-04-28 11:40:00+05:30,130.45,132.8,126.2,131.0,136890
5m,2026-04-28 11:45:00+05:30,131.0,133.3,125.7,130.25,107055
5m,2026-04-28 11:50:00+05:30,130.25,131.0,125.25,126.5,86515
5m,2026-04-28 11:55:00+05:30,126.5,127.85,120.8,120.95,106730
5m,2026-04-28 12:00:00+05:30,120.85,121.9,113.45,115.65,185120
5m,2026-04-28 12:05:00+05:30,115.65,116.15,112.6,115.7,92755
5m,2026-04-28 12:10:00+05:30,115.7,118.3,114.4,117.6,66235
5m,2026-04-28 12:15:00+05:30,117.0,120.35,112.35,112.35,106990
5m,2026-04-28 12:20:00+05:30,112.85,116.0,104.0,107.55,237965
5m,2026-04-28 12:25:00+05:30,107.65,111.6,105.6,106.4,107640
5m,2026-04-28 12:30:00+05:30,106.4,106.6,101.2,106.6,124215
5m,2026-04-28 12:35:00+05:30,106.6,110.4,106.1,108.6,98215
5m,2026-04-28 12:40:00+05:30,108.6,112.35,108.0,112.15,67210
5m,2026-04-28 12:45:00+05:30,112.0,114.95,108.5,112.0,74165
5m,2026-04-28 12:50:00+05:30,112.0,114.0,108.15,109.7,48165
